Scenario,Comparison,Statistic,p-value
1state,SJM-BL vs EW,37947.0,2.2626347692548062e-14
1state,SJM-BL vs IV,39933.0,2.2134573213855396e-12
1state,SJM-BL vs MVO,19876.0,6.255613004562227e-40
1state,SJM-BL vs HMM-BL-Default,27525.0,1.8061833773043737e-27
1state,SJM-BL vs HMM-BL-KMeans,408.0,1.4569636962111485e-82
2state,SJM-BL vs EW,53184.0,0.00349127134427522
2state,SJM-BL vs IV,57566.0,0.11755329193832308
2state,SJM-BL vs MVO,16528.0,3.815966090060621e-46
2state,SJM-BL vs HMM-BL-Default,14853.0,1.9879603973978656e-49
2state,SJM-BL vs HMM-BL-KMeans,18692.0,4.481950625696317e-42
3state,SJM-BL vs EW,11142.0,4.081331100464794e-57
3state,SJM-BL vs IV,49214.0,3.338967476925312e-05
3state,SJM-BL vs MVO,8880.0,4.41774370921059e-62
3state,SJM-BL vs HMM-BL-Default,14699.0,9.788636642126057e-50
3state,SJM-BL vs HMM-BL-KMeans,15728.0,1.0665764360583891e-47
