T,Method,state0_mean,state1_mean,state0_vol,state1_vol,gamma12,gamma21,acc1,acc2,BAC
250,True,0.001,-0.001,0.008,0.021,0.002,0.012,0.998,0.926,0.962
250,MLE default,0.0,-0.001,0.01,0.021,0.055,0.565,0.924,0.235,0.58
250,MLE k-means,0.0,-0.001,0.012,0.022,0.451,0.469,0.879,0.174,0.527
250,Jump Model,0.001,-0.0,0.008,0.015,0.003,0.022,0.889,0.44,0.665
250,Sparse Jump,0.001,-0.0,0.008,0.015,0.004,0.022,0.888,0.447,0.667
500,True,0.001,-0.001,0.008,0.021,0.002,0.012,0.998,0.926,0.962
500,MLE default,0.001,-0.0,0.008,0.023,0.058,0.29,0.986,0.459,0.722
500,MLE k-means,0.001,-0.001,0.009,0.026,0.291,0.316,0.955,0.381,0.668
500,Jump Model,0.001,-0.0,0.008,0.017,0.003,0.019,0.936,0.619,0.778
500,Sparse Jump,0.001,-0.0,0.008,0.017,0.003,0.019,0.932,0.625,0.779
1000,True,0.001,-0.001,0.008,0.021,0.002,0.012,0.998,0.926,0.962
1000,MLE default,0.001,-0.001,0.008,0.025,0.052,0.133,0.993,0.676,0.835
1000,MLE k-means,0.001,0.0,0.008,0.025,0.149,0.173,0.981,0.667,0.824
1000,Jump Model,0.001,-0.001,0.008,0.02,0.002,0.017,0.974,0.819,0.896
1000,Sparse Jump,0.001,-0.001,0.008,0.02,0.002,0.017,0.969,0.83,0.899
2000,True,0.001,-0.001,0.008,0.021,0.002,0.012,0.998,0.926,0.962
2000,MLE default,0.001,-0.001,0.007,0.023,0.039,0.095,0.988,0.828,0.908
2000,MLE k-means,0.001,-0.001,0.007,0.024,0.084,0.085,0.987,0.828,0.908
2000,Jump Model,0.001,-0.001,0.008,0.021,0.002,0.014,0.992,0.916,0.954
2000,Sparse Jump,0.001,-0.001,0.008,0.021,0.002,0.014,0.988,0.93,0.959
