mu,P,HMM (mean ± std),Jump (mean ± std),Sparse Jump (mean ± std),"p-value (Jump vs Sparse, Wilcoxon)","Jump Lambda (mean ± std, unique)","Sparse Lambda (mean ± std, unique)","Sparse Kappa (mean ± std, unique)"
0.02,15,0.48 ± 0.09,0.67 ± 0.18,**0.74 ± 0.16**, 0.0549 ,6.22 ± 14.43 (n=6),7.96 ± 8.88 (n=5),1.24 ± 0.42 (n=4)
0.02,30,0.52 ± 0.03,0.64 ± 0.17,0.67 ± 0.14, 0.1870 ,6.98 ± 6.80 (n=5),7.34 ± 8.90 (n=5),1.90 ± 0.83 (n=6)
0.02,60,0.52 ± 0.03,0.66 ± 0.18,**0.69 ± 0.15**, 0.0865 ,31.95 ± 42.09 (n=6),13.75 ± 12.04 (n=3),3.28 ± 1.96 (n=7)
0.02,150,0.50 ± 0.03,0.59 ± 0.14,**0.65 ± 0.13**, 0.0038 ,22.90 ± 42.51 (n=7),18.95 ± 29.36 (n=6),2.73 ± 1.28 (n=5)
0.02,300,0.51 ± 0.03,0.60 ± 0.15,**0.65 ± 0.15**, 0.0054 ,113.98 ± 153.84 (n=5),26.68 ± 26.98 (n=4),2.76 ± 2.19 (n=4)
0.05,15,0.48 ± 0.09,0.73 ± 0.16,0.72 ± 0.18, 0.5710 ,7.44 ± 14.10 (n=5),7.47 ± 8.84 (n=5),1.27 ± 0.48 (n=4)
0.05,30,0.52 ± 0.03,0.67 ± 0.16,0.61 ± 0.13, 0.7030 ,7.82 ± 7.53 (n=3),4.77 ± 9.03 (n=5),1.72 ± 0.75 (n=5)
0.05,60,0.52 ± 0.03,0.66 ± 0.18,0.69 ± 0.15**, 0.0865 ,31.95 ± 42.09 (n=6),13.54 ± 12.24 (n=4),3.28 ± 1.96 (n=7)
0.05,150,0.50 ± 0.03,0.59 ± 0.14,**0.65 ± 0.13**, 0.0038 ,23.08 ± 42.42 (n=7),18.95 ± 29.36 (n=6),2.73 ± 1.28 (n=5)
0.05,300,0.51 ± 0.03,0.60 ± 0.15,**0.65 ± 0.15**, 0.0054 ,126.53 ± 150.50 (n=5),26.68 ± 26.98 (n=4),2.76 ± 2.19 (n=4)
0.1,15,0.56 ± 0.19,0.85 ± 0.15,0.82 ± 0.19, 0.8760 ,8.75 ± 13.68 (n=5),8.69 ± 8.70 (n=5),1.66 ± 0.68 (n=7)
0.1,30,0.52 ± 0.03,0.73 ± 0.20,**0.79 ± 0.19**, 0.0104 ,7.96 ± 7.53 (n=5),8.99 ± 8.44 (n=4),1.69 ± 0.51 (n=5)
0.1,60,0.53 ± 0.03,0.66 ± 0.18,0.69 ± 0.15**, 0.0693 ,31.95 ± 42.09 (n=6),13.54 ± 12.24 (n=4),3.28 ± 1.86 (n=8)
0.1,150,0.50 ± 0.03,0.59 ± 0.14,**0.67 ± 0.13**, 0.0038 ,23.08 ± 42.42 (n=7),28.94 ± 37.20 (n=5),3.42 ± 2.59 (n=6)
0.1,300,0.51 ± 0.03,0.60 ± 0.15,**0.65 ± 0.15**, 0.0054 ,113.98 ± 153.84 (n=5),26.68 ± 26.98 (n=4),2.76 ± 2.19 (n=4)
0.25,15,0.88 ± 0.21,1.00 ± 0.00,1.00 ± 0.00, 0.9100 ,10.21 ± 13.01 (n=2),10.11 ± 7.80 (n=3),2.57 ± 0.99 (n=10)
0.25,30,0.52 ± 0.03,0.93 ± 0.14,0.94 ± 0.08, 0.3000 ,7.72 ± 4.78 (n=3),12.16 ± 6.49 (n=2),1.96 ± 0.70 (n=6)
0.25,60,0.52 ± 0.04,0.85 ± 0.20,0.89 ± 0.15, 0.1040 ,37.73 ± 38.47 (n=4),19.44 ± 12.41 (n=3),2.76 ± 1.77 (n=7)
0.25,150,0.50 ± 0.03,0.65 ± 0.16,**0.79 ± 0.18**, 0.0332 ,51.31 ± 61.33 (n=6),51.62 ± 48.45 (n=4),2.64 ± 1.12 (n=5)
0.25,300,0.51 ± 0.03,0.60 ± 0.15,**0.69 ± 0.18**, 0.0054 ,125.95 ± 150.98 (n=5),34.69 ± 34.88 (n=5),2.76 ± 2.19 (n=4)
0.5,15,0.95 ± 0.13,1.00 ± 0.00,1.00 ± 0.00, 0.1590 ,9.44 ± 13.35 (n=3),7.38 ± 8.52 (n=3),2.55 ± 0.86 (n=9)
0.5,30,0.71 ± 0.24,1.00 ± 0.00,1.00 ± 0.00, 0.3270 ,5.45 ± 4.26 (n=3),10.11 ± 7.80 (n=3),2.55 ± 1.04 (n=7)
0.5,60,0.52 ± 0.05,0.96 ± 0.11,0.97 ± 0.09, 0.1430 ,28.94 ± 41.53 (n=5),24.80 ± 27.13 (n=4),2.56 ± 1.16 (n=7)
0.5,150,0.50 ± 0.03,0.83 ± 0.21,**0.86 ± 0.17**, 0.0216 ,45.50 ± 38.01 (n=4),47.07 ± 44.57 (n=5),2.56 ± 0.93 (n=4)
0.5,300,0.51 ± 0.03,0.73 ± 0.19,0.74 ± 0.20, 0.1300 ,162.07 ± 134.95 (n=4),34.67 ± 34.90 (n=4),2.38 ± 1.31 (n=4)
