mu,P,sim,HMM_BAC,Jump_BAC,SparseJump_BAC,Jump_Lambda,Sparse_Lambda,Sparse_Kappa
0.02,15,0,0.552,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.02,15,1,0.5633307192696708,0.5127083710361746,0.5469324968329614,0.01,0.31622776601683794,1.0
0.02,15,2,0.4373983739837398,0.5178861788617886,0.8304878048780489,0.24244620170823283,10.0,2.3259923136341927
0.02,15,3,0.4173469387755102,0.5418367346938775,0.6642857142857144,0.701703828670383,3.1622776601683795,1.0
0.02,15,4,0.45302474409877536,0.5662997771858405,0.7458745874587459,0.701703828670383,10.0,1.6629961568170963
0.02,15,5,0.39978448275862066,0.5568726053639848,0.7479645593869731,0.701703828670383,10.0,1.0
0.02,15,6,0.5986350005170452,0.6679535348660852,0.546775361069939,2.030917620904737,0.31622776601683794,1.0
0.02,15,7,0.49610278894166365,0.9803312629399585,0.8417975886006577,2.030917620904737,3.1622776601683795,1.0
0.02,15,8,0.5569783533512156,0.5447882318771249,0.5289760981360305,0.701703828670383,1.0,1.4419974378780642
0.02,15,9,0.3135245901639344,0.8333333333333333,0.9754098360655737,5.878016072274912,10.0,1.0
0.02,30,0,0.622,1.0,1.0,17.012542798525892,31.622776601683793,1.0
0.02,30,1,0.4772475920452032,0.524411332971386,0.5478373650238282,0.028942661247167517,3.1622776601683795,3.4108137711816635
0.02,30,2,0.5711382113821137,0.5830623306233063,0.5405149051490514,0.701703828670383,1.0,1.0
0.02,30,3,0.6989795918367347,0.5663265306122449,0.6612244897959183,0.24244620170823283,3.1622776601683795,1.0
0.02,30,4,0.5001005176659798,0.5377527600475783,0.628595600676819,0.24244620170823283,10.0,1.0
0.02,30,5,0.6240421455938697,0.5642959770114943,0.5969827586206897,0.01,10.0,1.0
0.02,30,6,0.5398297197614698,0.9711316397228638,0.8731343283582089,5.878016072274912,10.0,2.0332059019349984
0.02,30,7,0.5371452928997686,0.7453416149068323,0.551881622214103,2.030917620904737,0.31622776601683794,1.3444019673116663
0.02,30,8,0.5828706155712358,0.5232184654285763,0.5789837863696161,0.0837677640068292,3.1622776601683795,4.099617705804996
0.02,30,9,0.39036885245901637,0.5867486338797814,0.6140710382513661,0.701703828670383,0.1,1.0
0.02,60,0,0.586,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.02,60,1,0.4583861173111339,0.6707988980716253,0.6861313868613139,17.012542798525892,10.0,2.037841029602282
0.02,60,2,0.5044715447154472,0.9621951219512195,0.9817073170731707,17.012542798525892,31.622776601683793,3.0756820592045644
0.02,60,3,0.3469387755102041,0.5,0.6234693877551021,49.238826317067414,3.1622776601683795,1.0
0.02,60,4,0.5592216582064298,0.5557705516744568,0.5381380777671676,0.701703828670383,3.1622776601683795,1.518920514801141
0.02,60,5,0.5059865900383141,0.5619013409961686,0.5677681992337165,5.878016072274912,3.1622776601683795,1.0
0.02,60,6,0.49601875150804864,0.8533487297921478,0.5734204267346868,17.012542798525892,3.1622776601683795,3.5946025740057053
0.02,60,7,0.5551698940445744,0.8100718548288881,0.7051516258677384,5.878016072274912,3.1622776601683795,1.518920514801141
0.02,60,8,0.5172814406041244,0.503006953580154,0.7890775828193607,0.701703828670383,10.0,3.5946025740057053
0.02,60,9,0.5765027322404372,0.985655737704918,0.9887295081967213,17.012542798525892,10.0,2.5567615444034235
0.02,150,0,0.526,1.0,1.0,142.51026703029993,100.0,1.0
0.02,150,1,0.424986426977137,0.5729524843658884,0.5397739840341035,2.030917620904737,3.1622776601683795,1.0
0.02,150,2,0.5463414634146342,0.5860433604336044,0.559620596205962,2.030917620904737,0.1,1.0
0.02,150,3,0.6663265306122449,0.5,0.8357142857142856,142.51026703029993,31.622776601683793,1.0
0.02,150,4,0.4976545877938048,0.7987049974032936,0.5548826456249686,49.238826317067414,3.1622776601683795,1.0
0.02,150,5,0.5780651340996168,0.5962643678160919,0.5534003831417624,0.0837677640068292,1.0,1.0
0.02,150,6,0.5281100272310503,0.5319361621453931,0.5645444831270897,0.0837677640068292,10.0,1.8651883626089147
0.02,150,7,0.49427597125806844,0.6181342102058215,0.6392644014127391,0.701703828670383,10.0,1.0
0.02,150,8,0.5573883924757821,0.5148895457108199,0.6789137380191693,2.030917620904737,31.622776601683793,2.7303767252178295
0.02,150,9,0.8066939890710383,0.5437158469945356,0.7093579234972678,0.0837677640068292,0.1,3.5955650878267438
0.02,300,0,0.598,1.0,1.0,142.51026703029993,100.0,1.0
0.02,300,1,0.4880557398805574,0.5785526130582535,0.5531258168948945,2.030917620904737,3.1622776601683795,6.021694792519623
0.02,300,2,0.5004065040650407,0.6907859078590786,0.5697831978319783,17.012542798525892,0.1,1.0
0.02,300,3,0.6153061224489795,0.8244897959183674,0.939795918367347,142.51026703029993,10.0,7.27711849064953
0.02,300,4,0.5564239165033255,0.5594729523713793,0.5641554003116047,0.701703828670383,10.0,2.255423698129906
0.02,300,5,0.5083812260536398,0.6522988505747127,0.5792624521072798,17.012542798525892,3.1622776601683795,3.5108473962598117
0.02,300,6,0.525093929888663,0.6492537313432836,0.6716417910447761,49.238826317067414,31.622776601683793,2.255423698129906
0.02,300,7,0.5334307636097917,0.9720496894409938,0.9668737060041408,49.238826317067414,31.622776601683793,2.255423698129906
0.02,300,8,0.5045360578155166,0.7476038338658146,0.7028753993610224,142.51026703029993,100.0,2.255423698129906
0.02,300,9,0.47780054644808745,0.7581967213114754,0.7776639344262295,49.238826317067414,31.622776601683793,3.5108473962598117
0.05,15,0,0.552,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.05,15,1,0.538668034023044,0.7162534435261708,0.5259295007138405,5.878016072274912,0.1,1.0
0.05,15,2,0.43306233062330624,0.6715447154471545,0.8365853658536586,2.030917620904737,10.0,2.5469910325732243
0.05,15,3,0.42142857142857143,0.5591836734693878,0.6642857142857144,0.028942661247167517,3.1622776601683795,1.0
0.05,15,4,0.45302474409877536,0.5626141294332478,0.5924511232849173,0.701703828670383,3.1622776601683795,1.4419974378780642
0.05,15,5,0.39978448275862066,0.569683908045977,0.5470545977011494,0.701703828670383,3.1622776601683795,1.0
0.05,15,6,0.6009444693392162,0.7014408327875634,0.5565475164592741,2.030917620904737,0.31622776601683794,1.0
0.05,15,7,0.561746437705517,0.9968944099378882,0.9927536231884058,5.878016072274912,10.0,1.0
0.05,15,8,0.5553809092617588,0.6900616767183202,0.5934291230288223,2.030917620904737,3.1622776601683795,1.0
0.05,15,9,0.32274590163934425,0.8333333333333333,0.9166666666666667,5.878016072274912,10.0,1.6629961568170963
0.05,30,0,0.622,1.0,1.0,17.012542798525892,31.622776601683793,1.0
0.05,30,1,0.4813798234501619,0.892159819830689,0.8319559228650137,5.878016072274912,10.0,1.0
0.05,30,2,0.6092140921409215,0.8222222222222222,0.9333333333333333,5.878016072274912,10.0,3.0664118038699972
0.05,30,3,0.35408163265306125,0.5683673469387756,0.5551020408163265,0.24244620170823283,0.31622776601683794,1.0
0.05,30,4,0.5025129416494949,0.5347204771238545,0.5632758707342815,0.24244620170823283,1.0,1.3444019673116663
0.05,30,5,0.4887452107279694,0.5803400383141762,0.5969827586206897,0.028942661247167517,10.0,1.0
0.05,30,6,0.5375202509392989,0.8731343283582089,0.9477611940298507,17.012542798525892,10.0,3.0664118038699972
0.05,30,7,0.5133357690902448,0.7453416149068323,0.6044330775788576,2.030917620904737,3.1622776601683795,1.0
0.05,30,8,0.5318292870444721,0.5312740257299551,0.549777041226017,0.01,0.31622776601683794,1.0
0.05,30,9,0.39139344262295084,0.5754781420765027,0.8627049180327868,0.701703828670383,10.0,1.0
0.05,60,0,0.586,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.05,60,1,0.4797309525245823,0.6707988980716253,0.5424584263336751,17.012542798525892,3.1622776601683795,1.0
0.05,60,2,0.4989159891598916,0.6649051490514906,0.6016260162601625,5.878016072274912,3.1622776601683795,2.5567615444034235
0.05,60,3,0.34591836734693876,0.5,0.5122448979591836,49.238826317067414,3.1622776601683795,1.518920514801141
0.05,60,4,0.5702618485198774,0.6140372920540784,0.8943894389438944,2.030917620904737,31.622776601683793,3.0756820592045644
0.05,60,5,0.5113745210727969,0.576867816091954,0.5677681992337165,0.701703828670383,3.1622776601683795,1.0
0.05,60,6,0.49424356278652926,0.9676674364896074,0.5734204267346868,17.012542798525892,3.1622776601683795,3.5946025740057053
0.05,60,7,0.5551698940445744,0.8100718548288881,0.7123980026793326,5.878016072274912,3.1622776601683795,2.037841029602282
0.05,60,8,0.5371427107003126,0.5294117647058824,0.6564640959491551,5.878016072274912,10.0,3.0756820592045644
0.05,60,9,0.649931693989071,0.9713114754098361,0.9887295081967213,5.878016072274912,10.0,2.037841029602282
0.05,150,0,0.526,1.0,1.0,142.51026703029993,100.0,1.0
0.05,150,1,0.6036677324003137,0.5779795298707044,0.5903862781765901,2.030917620904737,0.1,2.7303767252178295
0.05,150,2,0.5329268292682927,0.5646341463414635,0.5540650406504065,0.24244620170823283,0.1,1.0
0.05,150,3,0.6663265306122449,0.5,0.8357142857142856,142.51026703029993,31.622776601683793,1.0
0.05,150,4,0.506424754150542,0.7987049974032936,0.5495635858002044,49.238826317067414,3.1622776601683795,1.0
0.05,150,5,0.5715996168582376,0.5962643678160919,0.5387931034482758,0.0837677640068292,3.1622776601683795,1.8651883626089147
0.05,150,6,0.5927923890937921,0.5505842611423253,0.5714728895936024,0.701703828670383,3.1622776601683795,1.8651883626089147
0.05,150,7,0.464011691633175,0.669711362805992,0.6392644014127391,0.701703828670383,10.0,1.0
0.05,150,8,0.5001964770805214,0.530932326459483,0.6773162939297125,2.030917620904737,31.622776601683793,1.0
0.05,150,9,0.5,0.5,0.5590846994535519,142.51026703029993,1.0,1.8651883626089147
0.05,300,0,0.598,1.0,1.0,142.51026703029993,100.0,1.0
0.05,300,1,0.5138746455932919,0.5785526130582535,0.5531258168948945,2.030917620904737,3.1622776601683795,6.021694792519623
0.05,300,2,0.5207317073170732,0.6907859078590786,0.5695121951219513,17.012542798525892,0.31622776601683794,6.021694792519623
0.05,300,3,0.4153061224489796,0.8244897959183674,0.939795918367347,142.51026703029993,10.0,7.27711849064953
0.05,300,4,0.5644318238930492,0.563024576569332,0.5641554003116047,0.028942661247167517,10.0,2.255423698129906
0.05,300,5,0.49796455938697315,0.6522988505747127,0.5580699233716475,17.012542798525892,10.0,1.0
0.05,300,6,0.5164765089104133,0.6492537313432836,0.6716417910447761,17.012542798525892,31.622776601683793,2.255423698129906
0.05,300,7,0.5303251735476799,0.9720496894409938,0.9668737060041408,49.238826317067414,31.622776601683793,2.255423698129906
0.05,300,8,0.5185969827954418,0.6773162939297125,0.7108626198083067,49.238826317067414,100.0,4.766271094389717
0.05,300,9,0.39959016393442626,0.7581967213114754,0.7776639344262295,49.238826317067414,31.622776601683793,3.5108473962598117
0.1,15,0,0.552,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.1,15,1,0.456254650017092,0.7203856749311295,0.514910216967284,5.878016072274912,1.0,1.0
0.1,15,2,0.42289972899728995,0.979810298102981,0.979810298102981,5.878016072274912,10.0,2.10499359469516
0.1,15,3,0.44081632653061226,0.6653061224489796,0.6040816326530611,0.701703828670383,0.1,1.2209987189390321
0.1,15,4,0.8515186544035114,0.991623527835017,0.9027910405253723,5.878016072274912,10.0,2.767989751512257
0.1,15,5,0.5507662835249042,0.5852490421455938,0.5112547892720306,0.24244620170823283,1.0,1.0
0.1,15,6,0.5545655096342766,0.7686567164179104,0.7686567164179104,5.878016072274912,10.0,2.3259923136341927
0.1,15,7,0.4936061381074169,0.9803312629399585,0.9927536231884058,2.030917620904737,10.0,1.0
0.1,15,8,0.9946524064171123,0.9946524064171123,0.9946524064171123,5.878016072274912,3.1622776601683795,2.5469910325732243
0.1,15,9,0.319672131147541,0.8333333333333333,0.9166666666666667,5.878016072274912,10.0,1.6629961568170963
0.1,30,0,0.622,1.0,1.0,17.012542798525892,31.622776601683793,1.0
0.1,30,1,0.49728539542739936,0.9917355371900827,0.9963503649635037,17.012542798525892,10.0,2.722009836558331
0.1,30,2,0.7910569105691057,0.5833333333333334,0.5585365853658537,5.878016072274912,0.1,3.4108137711816635
0.1,30,3,0.3581632653061224,0.5704081632653062,0.5551020408163265,0.028942661247167517,0.31622776601683794,1.0
0.1,30,4,0.5374093246888141,0.9438943894389439,0.9400914710760416,2.030917620904737,10.0,2.377607869246665
0.1,30,5,0.491977969348659,0.7818486590038314,0.5969827586206897,17.012542798525892,10.0,1.0
0.1,30,6,0.33070214746130777,0.9872979214780601,0.9896073903002309,5.878016072274912,10.0,2.0332059019349984
0.1,30,7,0.5899403239556692,0.7453416149068323,0.6044330775788576,2.030917620904737,3.1622776601683795,1.0
0.1,30,8,0.49450718422716167,0.7618099810356904,0.5777707539594403,2.030917620904737,3.1622776601683795,1.0
0.1,30,9,0.34972677595628415,0.6140710382513661,0.8627049180327868,0.701703828670383,10.0,1.0
0.1,60,0,0.586,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.1,60,1,0.5151917315155536,0.8613138686131387,0.9562043795620438,17.012542798525892,10.0,4.113523088806847
0.1,60,2,0.4666666666666667,0.9621951219512195,0.9817073170731707,17.012542798525892,31.622776601683793,2.037841029602282
0.1,60,3,0.34591836734693876,0.6295918367346939,0.5122448979591836,0.0837677640068292,3.1622776601683795,1.518920514801141
0.1,60,4,0.6512539578830979,0.9611582985709739,0.9593824864719974,5.878016072274912,10.0,3.5946025740057053
0.1,60,5,0.5166427203065134,0.6003352490421456,0.5877634099616857,0.701703828670383,0.1,1.0
0.1,60,6,0.4518803212574541,0.9626865671641791,0.8880597014925373,17.012542798525892,10.0,2.037841029602282
0.1,60,7,0.4418463037388869,0.8529411764705883,0.7123980026793326,17.012542798525892,3.1622776601683795,2.037841029602282
0.1,60,8,0.5445404999060327,0.5437802190292323,0.8449197860962567,2.030917620904737,10.0,3.5946025740057053
0.1,60,9,0.548155737704918,0.9713114754098361,0.9887295081967213,5.878016072274912,10.0,2.5567615444034235
0.1,150,0,0.526,1.0,1.0,142.51026703029993,100.0,1.0
0.1,150,1,0.5521606241579698,0.6308037240353099,0.5683577647744867,2.030917620904737,10.0,1.0
0.1,150,2,0.5269647696476965,0.5804878048780489,0.5444444444444444,2.030917620904737,1.0,1.0
0.1,150,3,0.6673469387755102,0.5,0.8357142857142856,142.51026703029993,31.622776601683793,1.0
0.1,150,4,0.49855924678762287,0.824085708063192,0.5397882427836692,49.238826317067414,3.1622776601683795,3.5955650878267438
0.1,150,5,0.430316091954023,0.5674090038314177,0.5534003831417624,0.028942661247167517,1.0,1.0
0.1,150,6,0.5637344455551343,0.5268691186101824,0.5714728895936024,0.0837677640068292,3.1622776601683795,1.8651883626089147
0.1,150,7,0.4190719766167337,0.7941176470588236,0.7941176470588236,49.238826317067414,31.622776601683793,1.8651883626089147
0.1,150,8,0.566938887085476,0.5574225624028293,0.6837060702875399,0.24244620170823283,31.622776601683793,2.7303767252178295
0.1,150,9,0.49214480874316946,0.5,0.6342213114754098,142.51026703029993,3.1622776601683795,5.325941813044573
0.1,300,0,0.598,1.0,1.0,142.51026703029993,100.0,1.0
0.1,300,1,0.5041724477689972,0.5813074339948925,0.5399750658542961,2.030917620904737,0.1,1.0
0.1,300,2,0.5467479674796748,0.5761517615176152,0.5185636856368563,0.01,1.0,1.0
0.1,300,3,0.42040816326530617,0.8377551020408163,0.939795918367347,2.030917620904737,10.0,6.021694792519623
0.1,300,4,0.5249618870516494,0.532048382503225,0.5416980784372853,0.01,1.0,2.255423698129906
0.1,300,5,0.5951867816091954,0.7850814176245211,0.7872365900383143,49.238826317067414,31.622776601683793,1.0
0.1,300,6,0.53396987349626,0.6492537313432836,0.6119402985074627,17.012542798525892,31.622776601683793,2.255423698129906
0.1,300,7,0.5452441846303739,0.9720496894409938,0.9668737060041408,49.238826317067414,31.622776601683793,2.255423698129906
0.1,300,8,0.4987015427722062,0.7294083477131776,0.7401035348789531,49.238826317067414,100.0,3.5108473962598117
0.1,300,9,0.3975409836065574,0.7581967213114754,0.7776639344262295,49.238826317067414,31.622776601683793,3.5108473962598117
0.25,15,0,0.552,1.0,1.0,49.238826317067414,31.622776601683793,1.0
0.25,15,1,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,3.872983346207417
0.25,15,2,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,3.430985908329353
0.25,15,3,0.8846938775510205,0.9989795918367347,0.9989795918367347,5.878016072274912,10.0,1.2209987189390321
0.25,15,4,0.9974619289340101,0.9974619289340101,0.9974619289340101,5.878016072274912,10.0,2.767989751512257
0.25,15,5,0.9978448275862069,0.9989224137931034,0.9978448275862069,5.878016072274912,10.0,3.2099871893903207
0.25,15,6,1.0,1.0,1.0,5.878016072274912,10.0,3.651984627268385
0.25,15,7,1.0,1.0,0.9937888198757764,5.878016072274912,10.0,1.8839948757561285
0.25,15,8,1.0,1.0,1.0,5.878016072274912,3.1622776601683795,2.9889884704512886
0.25,15,9,0.3760245901639344,1.0,1.0,5.878016072274912,10.0,1.6629961568170963
0.25,30,0,0.622,1.0,1.0,17.012542798525892,31.622776601683793,1.0
0.25,30,1,0.9917355371900827,0.9917355371900827,0.9963503649635037,5.878016072274912,10.0,2.0332059019349984
