T,lambda,BAC
250,0.01,0.6369167610080166
250,0.03162277660168379,0.637080501240952
250,0.1,0.6368306869474183
250,0.31622776601683794,0.6368939765590811
250,1.0,0.6373386678598
250,3.1622776601683795,0.6532018591433012
250,10.0,0.6691599599381542
250,31.622776601683793,0.6918407623085681
250,100.0,0.6966986133035882
250,316.22776601683796,0.6084783272923823
500,0.01,0.7727186396616139
500,0.03162277660168379,0.7729760605981446
500,0.1,0.7740332723994514
500,0.31622776601683794,0.7752516503650309
500,1.0,0.7797481957267338
500,3.1622776601683795,0.7533073677044118
500,10.0,0.7985109708838262
500,31.622776601683793,0.8082183980337035
500,100.0,0.7653376742330196
500,316.22776601683796,0.7194260986784226
1000,0.01,0.8564900083372381
1000,0.03162277660168379,0.8568706542249094
1000,0.1,0.8576142651242095
1000,0.31622776601683794,0.8581160833888194
1000,1.0,0.862695691967183
1000,3.1622776601683795,0.8611024310656299
1000,10.0,0.8671321641333197
1000,31.622776601683793,0.8630586059302057
1000,100.0,0.8995554712453689
1000,316.22776601683796,0.7889663310481919
2000,0.01,0.9012136414995517
2000,0.03162277660168379,0.9012712270342368
2000,0.1,0.9021186605622152
2000,0.31622776601683794,0.9042620853760615
2000,1.0,0.9094575869604864
2000,3.1622776601683795,0.9207766017155044
2000,10.0,0.9352622811577667
2000,31.622776601683793,0.9333840084472822
2000,100.0,0.9367860976210707
2000,316.22776601683796,0.8287252700803219
