T,lambda,BAC
250,0.01,0.5874906763780551
250,0.03162277660168379,0.5877581770812204
250,0.1,0.5877633661355198
250,0.31622776601683794,0.58867851273357
250,1.0,0.5915805390298627
250,3.1622776601683795,0.5946340551434682
250,10.0,0.605229308091418
250,31.622776601683793,0.6285838625126842
250,100.0,0.6382459684153654
250,316.22776601683796,0.56090144668847
500,0.01,0.708502602224023
500,0.03162277660168379,0.7085313982218943
500,0.1,0.7094269606352652
500,0.31622776601683794,0.7104607544209148
500,1.0,0.711948633080651
500,3.1622776601683795,0.7169858698608418
500,10.0,0.7247498992324235
500,31.622776601683793,0.7361493388074254
500,100.0,0.7338283637242135
500,316.22776601683796,0.6453773268241377
1000,0.01,0.8188028237188748
1000,0.03162277660168379,0.8191438712306384
1000,0.1,0.819513991726061
1000,0.31622776601683794,0.8208104069954387
1000,1.0,0.8253775182772795
1000,3.1622776601683795,0.8309048423349611
1000,10.0,0.8394879041541039
1000,31.622776601683793,0.854102345220761
1000,100.0,0.8436304858770155
1000,316.22776601683796,0.7321266759490236
2000,0.01,0.8665830365357409
2000,0.03162277660168379,0.8667676506621783
2000,0.1,0.8673613321385105
2000,0.31622776601683794,0.8694638570995846
2000,1.0,0.8749621715116855
2000,3.1622776601683795,0.8843892519308391
2000,10.0,0.8976911539388484
2000,31.622776601683793,0.9098897479795154
2000,100.0,0.8988028253054285
2000,316.22776601683796,0.7904846731720142
