T,lambda,BAC
250,0.01,0.5932018475952959
250,0.03162277660168379,0.5931979975319044
250,0.1,0.593210054371977
250,0.31622776601683794,0.5937202666083977
250,1.0,0.5959918674205769
250,3.1622776601683795,0.5966082058863974
250,10.0,0.6025387844078698
250,31.622776601683793,0.6267594000776976
250,100.0,0.6401892501736784
250,316.22776601683796,0.5615863009704688
500,0.01,0.7040800410428432
500,0.03162277660168379,0.7047230930360938
500,0.1,0.7059072235974367
500,0.31622776601683794,0.7085817288713852
500,1.0,0.7152193825555662
500,3.1622776601683795,0.7208152064375895
500,10.0,0.7263751587861208
500,31.622776601683793,0.7354114361131082
500,100.0,0.7445039138554024
500,316.22776601683796,0.6477971714331202
1000,0.01,0.8042119945532723
1000,0.03162277660168379,0.804782278150236
1000,0.1,0.8068217282914989
1000,0.31622776601683794,0.813367661891466
1000,1.0,0.823874926589413
1000,3.1622776601683795,0.832148605021886
1000,10.0,0.8430920838795518
1000,31.622776601683793,0.8559200997351144
1000,100.0,0.8566627424236912
1000,316.22776601683796,0.7477025902267965
2000,0.01,0.8490407109673718
2000,0.03162277660168379,0.8500526795912036
2000,0.1,0.8525997925779886
2000,0.31622776601683794,0.8594609238595446
2000,1.0,0.8745924461099227
2000,3.1622776601683795,0.8894335247359911
2000,10.0,0.9014744827671191
2000,31.622776601683793,0.9140325569074153
2000,100.0,0.9108349100185085
2000,316.22776601683796,0.8305092500695843
