T,lambda,BAC
250,0.01,0.5927093658372891
250,0.046415888336127774,0.5926971551693863
250,0.21544346900318834,0.593987909871614
250,1.0,0.5956078663585792
250,4.6415888336127775,0.5997762788882287
250,21.54434690031882,0.6202368946325737
250,100.0,0.6401022782517605
250,464.1588833612773,0.5294094454735861
250,2154.4346900318824,0.5
250,10000.0,0.5
500,0.01,0.7039863037894838
500,0.046415888336127774,0.7048128437991112
500,0.21544346900318834,0.7070698299648125
500,1.0,0.7147643874398752
500,4.6415888336127775,0.7182758465358077
500,21.54434690031882,0.7316802077287261
500,100.0,0.7444003333111623
500,464.1588833612773,0.5831399579855674
500,2154.4346900318824,0.5
500,10000.0,0.5
1000,0.01,0.8040908596226045
1000,0.046415888336127774,0.8051980265663227
1000,0.21544346900318834,0.8098454660292739
1000,1.0,0.8236865291036091
1000,4.6415888336127775,0.8364821167187731
1000,21.54434690031882,0.8485642932549653
1000,100.0,0.857285191780811
1000,464.1588833612773,0.66752352849703
1000,2154.4346900318824,0.5
1000,10000.0,0.5
2000,0.01,0.8490059279340025
2000,0.046415888336127774,0.8504245270774127
2000,0.21544346900318834,0.8561565701150902
2000,1.0,0.8746629689981016
2000,4.6415888336127775,0.8927665529516307
2000,21.54434690031882,0.9095419185014705
2000,100.0,0.9111743099573214
2000,464.1588833612773,0.7442182546705629
2000,2154.4346900318824,0.5002949640287769
2000,10000.0,0.5
