mu,P,p_value_SparseJump_vs_MLE,p_value_SparseJump_vs_MLEK,p_value_SparseJump_vs_Jump
0.02,15,1.767994548003434e-10,1.9049631606617146e-16,0.029697746383012546
0.02,30,2.8976026862745357e-07,1.5011633635877922e-17,0.2944320790843066
0.02,60,2.016754090902349e-09,3.5712549935064305e-16,0.5845321250207427
0.02,150,3.773324924908291e-12,6.927659466137696e-17,0.0014015713010643131
0.02,300,1.710484425834587e-11,7.780650497544625e-17,0.02982697508823074
0.05,15,2.3453643774931896e-10,6.348096138091012e-17,0.02162318048947875
0.05,30,1.863043647108273e-07,1.6904481702255348e-17,0.6111683356971009
0.05,60,6.899822136492872e-10,7.78613088708504e-18,0.1633886752894923
0.05,150,4.567354058645644e-11,1.1343206636050775e-16,0.005423472457730388
0.05,300,3.076575433731885e-11,2.6339763051449706e-17,0.009591232587618445
0.1,15,1.30723624607853e-07,1.167581676857518e-16,0.7209136922198149
0.1,30,1.0850469980505567e-06,5.648837016184207e-17,0.7837774812513112
0.1,60,9.217972669668928e-12,1.293738574390612e-17,0.28618202663027714
0.1,150,2.7430129279034684e-13,2.080101296156224e-17,9.740934505400177e-05
0.1,300,1.7141607655322808e-10,2.2063602444061537e-17,0.055234643366412386
0.25,15,3.1399285822335514e-07,2.447895132974686e-11,0.009394615729660225
0.25,30,2.144952505384725e-08,4.979506652408859e-14,0.2475831442661932
0.25,60,4.208959416856581e-09,4.594634296426477e-15,0.537597667322752
0.25,150,8.24587541970641e-15,6.3112544415399815e-18,0.00047370689312202963
0.25,300,3.2566151039783314e-15,1.456970697288174e-17,0.000979853715849023
0.5,15,1.5410998768262395e-06,1.9525632944529007e-06,0.6909447568979337
0.5,30,1.789755604885864e-09,2.7698107084154797e-09,0.42652824883677154
0.5,60,4.2831949555684765e-11,4.95267787918254e-10,0.44045294529422474
0.5,150,2.765673393323094e-12,3.9301773818500527e-14,0.001915216263015816
0.5,300,4.202508294254959e-16,7.134729871407024e-16,0.5297525681557864
