mu,P,Jump_best_lambda_mean,Jump_best_lambda_sem,SparseJump_best_lambda_mean,SparseJump_best_lambda_sem,SparseJump_best_kappa_mean,SparseJump_best_kappa_sem
0.02,15,7.01346706756794,0.9312376190127456,5.733015013260092,0.8253908707225106,1.212158770181471,0.044524468255740815
0.02,30,11.989958356598002,1.6058277316380274,9.621699810810398,1.1382468921021989,1.4477225575051662,0.07185990874716303
0.02,60,15.329954460496678,2.0290200887217007,14.921657882566281,1.9494444327345355,1.659029053797449,0.10530740835203811
0.02,150,43.861060010206494,5.692655005525763,30.775257905073595,3.5838342156994694,1.7786695263480232,0.1292674580427472
0.02,300,113.77596064194418,15.785887390458308,34.241933930698295,4.133962636216401,3.4104135004094194,0.2994785549946033
0.05,15,6.42456464489617,0.9134750763435745,5.743010739833863,0.7723356131991366,1.240888603643545,0.04376171472161415
0.05,30,10.151722207261434,1.4144742067462526,9.50540158952905,1.1432778528008118,1.3926182427352995,0.06957612022437162
0.05,60,16.984746251164253,2.088558163157578,15.450657189084671,1.9552413176785712,1.6745966692414833,0.10391506087094853
0.05,150,39.549459805362964,5.466637143854394,29.74741729627075,3.6081814499513527,2.159352405895946,0.17049331545001958
0.05,300,114.89141008636896,16.11368481937931,35.91434106808022,4.1365990344941395,2.7701474143631675,0.2271812748537705
0.1,15,6.987028600295418,0.8799071913035379,6.719098288803291,0.7546858212139814,1.324868116840377,0.052227517261680914
0.1,30,10.868817337560618,1.437849207128084,10.742005885462595,1.1784744870951647,1.4546105968513996,0.0698956803511616
0.1,60,18.73040515743117,2.042458349525506,16.03993404323487,1.9097572850402726,1.7731915670537004,0.11318505497767843
0.1,150,38.14448196021251,5.3621420267625375,30.418680636660653,3.563069792568708,2.2199155912785695,0.17264176735537795
0.1,300,110.87282714356239,15.858117867279285,35.33871043810769,4.154779704101279,3.0212321539891485,0.2478267651808248
0.25,15,7.796606269196571,0.7908774030395531,8.352878376157303,0.7368560214140746,2.0232240686877185,0.09556783166560354
0.25,30,10.129154860528923,1.1866869603658057,14.263282046131183,1.0150428426670546,2.0986422757242154,0.09749703027012334
0.25,60,15.030954868192843,1.8600713382997291,16.360917643011557,1.839449780157959,2.1520035428585333,0.11028456047546173
0.25,150,35.09076897538092,5.054456881340423,31.809289899502033,3.596579851354067,2.6265541217047597,0.17446502686458287
0.25,300,108.92974429944461,15.064273223964951,38.67186220100714,3.841998866733693,3.3727507894655218,0.24846832250783107
0.5,15,6.772729310521477,0.8226497826430895,7.231890502954384,0.7890139591990061,2.3746120318007793,0.09950918187734686
0.5,30,8.841830222434249,1.135533101382457,11.016927576827236,1.0222193461216083,2.4361562036896482,0.10396275382387274
0.5,60,13.949273756581471,1.8074626351231207,15.273765992648677,1.7673074092545835,2.478923467183252,0.10621269786443073
0.5,150,30.497171733361586,5.018046875118452,30.05094883142181,3.689394675831417,2.7909399106004535,0.13372660713763676
0.5,300,87.72245368733253,15.087778325370687,32.9906614625109,3.4261903575725645,3.598727055128905,0.21872689575311982
