mu,P,sim,HMM_BAC,Jump_BAC,SparseJump_BAC,Jump_Lambda,Sparse_Lambda,Sparse_Kappa,,
 0.02 , 15.00 , -   , 0.55 , 1.00 , 1.00 , 49.24 , 31.62 , 1.00 ,,Mu
 0.02 , 15.00 , 1.00 , 0.56 , 0.51 , 0.55 , 0.01 , 0.32 , 1.00 ,,
 0.02 , 15.00 , 2.00 , 0.44 , 0.52 , 0.83 , 0.24 , 10.00 , 2.33 ,,
 0.02 , 15.00 , 3.00 , 0.42 , 0.54 , 0.66 , 0.70 , 3.16 , 1.00 ,,
 0.02 , 15.00 , 4.00 , 0.45 , 0.57 , 0.75 , 0.70 , 10.00 , 1.66 ,,
 0.02 , 15.00 , 5.00 , 0.40 , 0.56 , 0.75 , 0.70 , 10.00 , 1.00 ,,
 0.02 , 15.00 , 6.00 , 0.60 , 0.67 , 0.55 , 2.03 , 0.32 , 1.00 ,,
 0.02 , 15.00 , 7.00 , 0.50 , 0.98 , 0.84 , 2.03 , 3.16 , 1.00 ,,
 0.02 , 15.00 , 8.00 , 0.56 , 0.54 , 0.53 , 0.70 , 1.00 , 1.44 ,,
 0.02 , 15.00 , 9.00 , 0.31 , 0.83 , 0.98 , 5.88 , 10.00 , 1.00 ,,
 0.02 , 30.00 , -   , 0.60 , 1.00 , 1.00 , 17.01 , 31.62 , 1.00 ,,
 0.02 , 30.00 , 1.00 , 0.49 , 0.50 , 0.83 , 5.88 , 10.00 , 1.00 ,,
 0.02 , 30.00 , 2.00 , 0.49 , 0.86 , 0.77 , 17.01 , 10.00 , 3.41 ,,
 0.02 , 30.00 , 3.00 , 0.50 , 0.56 , 0.61 , 2.03 , 3.16 , 1.69 ,,
 0.02 , 30.00 , 4.00 , 0.53 , 0.58 , 0.61 , 5.88 , 10.00 , 3.07 ,,
 0.02 , 30.00 , 5.00 , 0.49 , 0.53 , 0.54 , 2.03 , 1.00 , 1.34 ,,
 0.02 , 30.00 , 6.00 , 0.52 , 0.80 , 0.57 , 17.01 , 0.32 , 2.38 ,,
 0.02 , 30.00 , 7.00 , 0.53 , 0.56 , 0.60 , 2.03 , 3.16 , 1.00 ,,
 0.02 , 30.00 , 8.00 , 0.51 , 0.52 , 0.55 , 0.70 , 1.00 , 2.38 ,,
 0.02 , 30.00 , 9.00 , 0.50 , 0.53 , 0.59 , 0.24 , 3.16 , 1.69 ,,
 0.02 , 60.00 , -   , 0.55 , 1.00 , 1.00 , 142.51 , 31.62 , 1.00 ,,
 0.02 , 60.00 , 1.00 , 0.50 , 0.51 , 0.56 , 2.03 , 10.00 , 3.59 ,,
 0.02 , 60.00 , 2.00 , 0.51 , 0.55 , 0.59 , 2.03 , 3.16 , 3.59 ,,
 0.02 , 60.00 , 3.00 , 0.46 , 0.50 , 0.83 , 49.24 , 31.62 , 1.00 ,,
 0.02 , 60.00 , 4.00 , 0.53 , 0.87 , 0.89 , 49.24 , 31.62 , 1.00 ,,
 0.02 , 60.00 , 5.00 , 0.51 , 0.52 , 0.62 , 0.24 , 10.00 , 2.04 ,,
 0.02 , 60.00 , 6.00 , 0.53 , 0.61 , 0.58 , 5.88 , 3.16 , 5.67 ,,
 0.02 , 60.00 , 7.00 , 0.55 , 0.89 , 0.59 , 49.24 , 3.16 , 6.71 ,,
 0.02 , 60.00 , 8.00 , 0.50 , 0.54 , 0.56 , 17.01 , 10.00 , 3.08 ,,
 0.02 , 60.00 , 9.00 , 0.60 , 0.63 , 0.68 , 2.03 , 3.16 , 5.15 ,,
 0.02 , 150.00 , -   , 0.53 , 1.00 , 1.00 , 142.51 , 100.00 , 1.00 ,,
 0.02 , 150.00 , 1.00 , 0.52 , 0.51 , 0.54 , 0.24 , 0.10 , 3.60 ,,
 0.02 , 150.00 , 2.00 , 0.50 , 0.51 , 0.54 , 0.24 , 1.00 , 5.33 ,,
 0.02 , 150.00 , 3.00 , 0.41 , 0.64 , 0.70 , 49.24 , 3.16 , 3.60 ,,
