mu,P,p_value_SparseJump_vs_MLE,p_value_SparseJump_vs_MLEK,p_value_SparseJump_vs_Jump
0.02,15,1.767994548003434e-10,4.095126545597987e-17,0.029697746383012546
0.02,30,2.8976026862745357e-07,6.348428415673146e-17,0.2944320790843066
0.02,60,2.016754090902349e-09,2.794684092654649e-17,0.5845321250207427
0.02,150,3.773324924908291e-12,7.78613088708504e-18,0.0014015713010643131
0.02,300,1.710484425834587e-11,3.052494899512079e-17,0.02982697508823074
0.05,15,2.3453643774931896e-10,5.129707399302125e-17,0.02162318048947875
0.05,30,1.863043647108273e-07,3.433907108732613e-17,0.6111683356971009
0.05,60,6.899822136492872e-10,2.2731525308328643e-17,0.1633886752894923
0.05,150,4.567354058645644e-11,6.728545976200043e-17,0.005423472457730388
0.05,300,3.076575433731885e-11,7.332993125579479e-18,0.009591232587618445
0.1,15,1.30723624607853e-07,1.1020511023218772e-16,0.7209136922198149
0.1,30,1.0850469980505567e-06,6.928021197254875e-17,0.7837774812513112
0.1,60,9.217972669668928e-12,1.7415252083634357e-17,0.28618202663027714
0.1,150,2.7430129279034684e-13,1.0500733111697086e-17,9.740934505400177e-05
0.1,300,1.7141607655322808e-10,2.7132293679999327e-17,0.055234643366412386
0.25,15,3.1399285822335514e-07,6.681592079059633e-13,0.009394615729660225
0.25,30,2.144952505384725e-08,6.513071524932422e-13,0.2475831442661932
0.25,60,4.208959416856581e-09,1.0951084171338747e-15,0.537597667322752
0.25,150,8.24587541970641e-15,5.429689005519939e-18,0.00047370689312202963
0.25,300,3.2566151039783314e-15,9.317969593232734e-18,0.000979853715849023
0.5,15,1.5410998768262395e-06,4.134916195275725e-08,0.6909447568979337
0.5,30,1.789755604885864e-09,3.4021328006322544e-09,0.42652824883677154
0.5,60,4.2831949555684765e-11,1.1276582719676042e-10,0.44045294529422474
0.5,150,2.765673393323094e-12,2.371617572947649e-13,0.001915216263015816
0.5,300,4.202508294254959e-16,1.0787742318540016e-15,0.5297525681557864
