mu,P,p_value_SparseJump_vs_MLE,p_value_SparseJump_vs_MLEK,p_value_SparseJump_vs_Jump
0.02,15,1.767994548003434e-10,4.095126545597987e-17,0.029697746383012546
0.02,30,3.895680685825538e-18,3.895900458013434e-18,0.0008390081693455047
0.02,60,3.895900458013434e-18,3.895680685825538e-18,8.63629004569108e-09
0.02,150,3.895900458013434e-18,3.895680685825538e-18,1.3923955941339081e-10
0.02,300,3.896120241954008e-18,3.896120241954008e-18,1.7144576381434303e-11
0.05,15,2.3453643774931896e-10,5.129707399302125e-17,0.02162318048947875
0.05,30,3.895680685825538e-18,3.895900458013434e-18,0.0007329035989278635
0.05,60,3.895900458013434e-18,3.895680685825538e-18,5.626757821815667e-09
0.05,150,3.895900458013434e-18,3.895680685825538e-18,9.458167225108423e-11
0.05,300,3.896120241954008e-18,3.896120241954008e-18,4.200841810577093e-11
0.1,15,1.30723624607853e-07,1.1020511023218772e-16,0.7209136922198149
0.1,30,3.895680685825538e-18,4.0154765914850665e-18,0.0056097914788062215
0.1,60,3.895900458013434e-18,3.895680685825538e-18,5.467335542772161e-09
0.1,150,3.895900458013434e-18,3.895680685825538e-18,7.611691068457171e-10
0.1,300,3.896120241954008e-18,3.896120241954008e-18,8.833245035802769e-10
0.25,15,3.1399285822335514e-07,6.681592079059633e-13,0.009394615729660225
0.25,30,7.392902084377815e-17,3.895241176705637e-18,0.12222239069716276
0.25,60,5.69623725067723e-18,3.895680685825538e-18,1.229438409366185e-05
0.25,150,3.895900458013434e-18,3.895680685825538e-18,9.613656405628819e-08
0.25,300,3.896120241954008e-18,3.896120241954008e-18,6.359552899725696e-10
0.5,15,1.5410998768262395e-06,4.134916195275725e-08,0.6909447568979337
0.5,30,3.4085873292315997e-12,2.824136366890839e-16,0.3719737719646685
0.5,60,3.7311984620195617e-16,4.015250251014598e-18,0.0028868018767603484
0.5,150,5.69623725067723e-18,3.895680685825538e-18,4.193606476642936e-10
0.5,300,3.896120241954008e-18,3.896120241954008e-18,0.0005502067526557318
