mu,P,HMM (mean ± std),Jump (mean ± std),Sparse Jump (mean ± std),"p-value (Jump vs Sparse, Wilcoxon)","Jump Lambda (mean ± std, unique)","Sparse Lambda (mean ± std, unique)","Sparse Kappa (mean ± std, unique)"
0.02,15,0.48 ± 0.09,0.67 ± 0.18,0.74 ± 0.16,0.0549,6.22 ± 14.43 (n=6),7.96 ± 8.88 (n=5),1.24 ± 0.42 (n=4)
0.02,30,0.55 ± 0.08,0.66 ± 0.17,0.66 ± 0.15,0.429,2.69 ± 5.07 (n=8),7.25 ± 8.97 (n=6),1.69 ± 1.09 (n=5)
0.02,60,0.51 ± 0.07,0.74 ± 0.19,0.75 ± 0.17,0.297,17.97 ± 16.88 (n=4),10.91 ± 10.77 (n=3),2.09 ± 1.00 (n=6)
0.02,150,0.56 ± 0.10,0.63 ± 0.15,0.66 ± 0.14,0.339,34.13 ± 56.04 (n=5),19.08 ± 29.29 (n=6),1.52 ± 0.88 (n=4)
0.02,300,0.53 ± 0.04,0.74 ± 0.14,0.73 ± 0.17,0.779,61.20 ± 55.97 (n=5),32.13 ± 35.91 (n=5),3.13 ± 1.95 (n=5)
0.05,15,0.48 ± 0.09,0.73 ± 0.16,0.72 ± 0.18,0.571,7.44 ± 14.10 (n=5),7.47 ± 8.84 (n=5),1.27 ± 0.48 (n=4)
0.05,30,0.50 ± 0.08,0.71 ± 0.17,0.74 ± 0.18,0.157,4.90 ± 6.42 (n=7),8.64 ± 8.74 (n=5),1.45 ± 0.82 (n=3)
0.05,60,0.52 ± 0.08,0.73 ± 0.18,0.70 ± 0.18,0.661,15.87 ± 17.47 (n=5),10.22 ± 11.02 (n=3),2.09 ± 0.91 (n=6)
0.05,150,0.55 ± 0.06,0.63 ± 0.15,0.65 ± 0.14,0.297,48.26 ± 63.30 (n=6),18.39 ± 29.58 (n=6),1.43 ± 0.58 (n=3)
0.05,300,0.51 ± 0.06,0.74 ± 0.14,0.73 ± 0.17,0.524,48.58 ± 50.16 (n=5),32.83 ± 35.40 (n=5),3.64 ± 2.13 (n=6)
0.1,15,0.56 ± 0.19,0.85 ± 0.15,0.82 ± 0.19,0.876,8.75 ± 13.68 (n=5),8.69 ± 8.70 (n=5),1.66 ± 0.68 (n=7)
0.1,30,0.51 ± 0.13,0.80 ± 0.16,0.77 ± 0.19,0.87,6.96 ± 6.82 (n=5),8.84 ± 8.60 (n=5),1.65 ± 0.86 (n=5)
0.1,60,0.51 ± 0.08,0.83 ± 0.17,0.84 ± 0.17,0.524,13.19 ± 13.85 (n=6),11.97 ± 10.43 (n=4),2.35 ± 1.04 (n=6)
0.1,150,0.52 ± 0.07,0.65 ± 0.16,0.67 ± 0.15,0.288,53.04 ± 61.36 (n=6),21.64 ± 29.07 (n=5),2.04 ± 1.38 (n=5)
0.1,300,0.52 ± 0.06,0.74 ± 0.15,0.74 ± 0.18,0.524,36.06 ± 41.60 (n=5),33.86 ± 35.55 (n=5),2.38 ± 1.53 (n=4)
0.25,15,0.88 ± 0.21,1.00 ± 0.00,1.00 ± 0.00,0.91,10.21 ± 13.01 (n=2),10.11 ± 7.80 (n=3),2.57 ± 0.99 (n=10)
0.25,30,0.86 ± 0.19,0.96 ± 0.07,0.93 ± 0.13,0.694,6.61 ± 3.65 (n=3),11.19 ± 7.40 (n=3),1.93 ± 0.83 (n=6)
0.25,60,0.74 ± 0.27,0.97 ± 0.06,0.92 ± 0.15,0.845,10.94 ± 13.28 (n=4),15.50 ± 10.95 (n=3),2.04 ± 0.84 (n=5)
0.25,150,0.67 ± 0.16,0.81 ± 0.19,**0.88 ± 0.15**,0.0142,44.06 ± 51.92 (n=5),30.11 ± 26.53 (n=5),2.21 ± 1.11 (n=5)
0.25,300,0.57 ± 0.05,0.78 ± 0.13,**0.95 ± 0.08**,0.00384,49.20 ± 51.14 (n=5),34.14 ± 23.55 (n=3),3.76 ± 2.30 (n=6)
0.5,15,0.95 ± 0.13,1.00 ± 0.00,1.00 ± 0.00,0.159,9.44 ± 13.35 (n=3),7.38 ± 8.52 (n=3),2.55 ± 0.86 (n=9)
0.5,30,0.95 ± 0.11,1.00 ± 0.00,1.00 ± 0.00,0.841,5.45 ± 4.26 (n=3),10.11 ± 7.80 (n=3),2.62 ± 0.97 (n=7)
0.5,60,0.91 ± 0.14,0.97 ± 0.07,1.00 ± 0.00,0.143,8.93 ± 13.58 (n=4),11.48 ± 7.02 (n=3),3.02 ± 1.05 (n=7)
0.5,150,0.79 ± 0.27,0.98 ± 0.06,1.00 ± 0.00,0.0544,20.61 ± 40.97 (n=4),23.32 ± 26.94 (n=3),3.16 ± 1.24 (n=6)
0.5,300,0.78 ± 0.22,1.00 ± 0.00,0.97 ± 0.09,0.358,36.54 ± 53.20 (n=3),27.65 ± 26.18 (n=3),3.39 ± 1.31 (n=4)
