mu,P,HMM (mean ± std),Jump (mean ± std),Sparse Jump (mean ± std),p-value (Jump vs Sparse),"Jump Lambda (mean ± std, unique)","Sparse Lambda (mean ± std, unique)","Sparse Kappa (mean ± std, unique)"
0.05,15,0.48 ± 0.09,0.73 ± 0.16,0.72 ± 0.18,0.836,7.44 ± 14.10 (n=5),7.47 ± 8.84 (n=5),1.27 ± 0.48 (n=4)
0.05,30,0.52 ± 0.07,0.69 ± 0.18,0.74 ± 0.18,0.443,5.11 ± 6.29 (n=6),7.72 ± 9.03 (n=6),1.59 ± 0.82 (n=5)
0.05,60,0.51 ± 0.03,0.65 ± 0.16,0.69 ± 0.15,0.152,10.98 ± 13.93 (n=6),15.41 ± 13.58 (n=5),2.30 ± 1.63 (n=6)
0.05,150,0.51 ± 0.05,0.62 ± 0.19,0.67 ± 0.13,0.217,42.37 ± 53.03 (n=7),22.23 ± 28.77 (n=6),2.99 ± 1.97 (n=5)
0.05,300,0.52 ± 0.04,0.65 ± 0.17,0.67 ± 0.14,0.451,81.18 ± 122.38 (n=6),51.50 ± 40.84 (n=4),2.38 ± 1.43 (n=4)
0.1,15,0.56 ± 0.19,0.85 ± 0.15,0.82 ± 0.19,0.211,8.75 ± 13.68 (n=5),8.69 ± 8.70 (n=5),1.66 ± 0.68 (n=7)
0.1,30,0.52 ± 0.07,0.79 ± 0.21,0.74 ± 0.19,0.165,6.25 ± 5.79 (n=5),8.31 ± 9.00 (n=5),1.62 ± 0.88 (n=4)
0.1,60,0.52 ± 0.03,0.64 ± 0.17,0.72 ± 0.16,0.292,10.40 ± 14.25 (n=7),17.58 ± 14.26 (n=5),2.04 ± 1.23 (n=6)
0.1,150,0.51 ± 0.05,0.62 ± 0.19,0.67 ± 0.13,0.175,42.42 ± 53.00 (n=7),23.13 ± 28.23 (n=5),2.82 ± 1.75 (n=4)
0.1,300,0.52 ± 0.04,0.65 ± 0.17,0.67 ± 0.14,0.429,81.91 ± 121.99 (n=6),51.50 ± 40.84 (n=4),2.51 ± 1.67 (n=5)
0.25,15,0.88 ± 0.21,1.00 ± 0.00,1.00 ± 0.00,0.269,10.21 ± 13.01 (n=2),10.11 ± 7.80 (n=3),2.57 ± 0.99 (n=10)
0.25,30,0.58 ± 0.15,0.95 ± 0.12,0.96 ± 0.06,0.678,6.22 ± 3.90 (n=3),13.64 ± 9.22 (n=3),2.10 ± 0.77 (n=7)
0.25,60,0.53 ± 0.03,0.93 ± 0.13,0.95 ± 0.09,0.35,14.67 ± 12.66 (n=3),18.65 ± 10.59 (n=2),2.35 ± 0.93 (n=6)
0.25,150,0.51 ± 0.05,0.78 ± 0.21,0.83 ± 0.18,0.446,42.86 ± 38.31 (n=5),31.87 ± 36.13 (n=5),3.08 ± 1.82 (n=5)
0.25,300,0.52 ± 0.04,0.72 ± 0.18,0.76 ± 0.20,0.682,110.21 ± 116.21 (n=5),67.64 ± 40.44 (n=4),2.88 ± 1.29 (n=4)
0.5,15,0.95 ± 0.13,1.00 ± 0.00,1.00 ± 0.00,0.343,9.44 ± 13.35 (n=3),7.38 ± 8.52 (n=3),2.55 ± 0.86 (n=9)
0.5,30,0.78 ± 0.23,1.00 ± 0.00,1.00 ± 0.00,nan,5.45 ± 4.26 (n=3),12.27 ± 10.12 (n=3),2.45 ± 1.05 (n=5)
0.5,60,0.57 ± 0.14,1.00 ± 0.00,0.95 ± 0.14,0.345,10.94 ± 13.28 (n=4),10.58 ± 7.69 (n=4),2.61 ± 1.00 (n=6)
0.5,150,0.51 ± 0.05,0.86 ± 0.22,0.92 ± 0.15,0.182,29.39 ± 39.79 (n=5),44.00 ± 38.41 (n=5),2.64 ± 1.31 (n=5)
0.5,300,0.52 ± 0.04,0.83 ± 0.18,0.94 ± 0.12,0.0557,107.10 ± 112.53 (n=4),72.65 ± 33.50 (n=2),2.51 ± 0.75 (n=3)
0.75,15,0.96 ± 0.13,1.00 ± 0.00,1.00 ± 0.00,nan,5.95 ± 14.45 (n=4),4.40 ± 9.12 (n=4),3.14 ± 0.86 (n=6)
0.75,30,0.83 ± 0.21,1.00 ± 0.00,1.00 ± 0.00,nan,3.14 ± 4.92 (n=6),5.47 ± 9.17 (n=4),3.00 ± 0.92 (n=5)
0.75,60,0.76 ± 0.25,1.00 ± 0.00,1.00 ± 0.00,nan,8.09 ± 13.87 (n=4),8.22 ± 8.69 (n=5),3.13 ± 0.82 (n=5)
0.75,150,0.51 ± 0.05,1.00 ± 0.00,0.98 ± 0.05,0.35,28.68 ± 40.00 (n=5),26.28 ± 27.23 (n=4),2.73 ± 1.09 (n=5)
0.75,300,0.52 ± 0.04,0.90 ± 0.16,0.96 ± 0.11,0.123,83.72 ± 115.35 (n=5),65.81 ± 34.19 (n=2),2.76 ± 1.61 (n=4)
