date,Market,vlue,size,mtum,qual,usmv,iwf,rf
2013-07-17,0.003165442,0.003116332,0.002198988,0.004386976,0.00093497,0.00179359,0.003030582,1.1902983632072761e-06
2013-07-18,0.005500291,0.00701106,0.006364974,0.002753508,0.001158272,0.002197146,0.002291806,1.1902983632072761e-06
2013-07-19,0.001168457,0.001753499,0.00239137,0.007253844,-0.005157084,0.001732678,-0.002166937,1.1902983632072761e-06
2013-07-22,0.002328238,0.002664026,0.001227673,0.000942649,0.002088132,0.000790005,0.002446929,1.5869854708139286e-06
2013-07-23,-0.001648187,-0.000648543,-0.00147189,-0.003129221,-0.003168891,-0.001727932,-0.003688308,7.935717540874521e-07
2013-07-24,-0.004453983,-0.004024719,-0.006937832,-0.003174339,0.000143365,-0.006449002,-0.001864819,1.1902983632072761e-06
2013-07-25,0.004058356,0.002190423,0.004821717,0.006384344,0.003615905,0.002712255,0.004704562,7.935717540874521e-07
2013-07-26,0.000150662,6.38442e-05,0.00098631,0.003462677,0.00288734,0.00365847,0.001457723,1.1902983632072761e-06
2013-07-29,-0.00387455,-0.003666981,-0.002730192,-0.002578507,-0.003359722,-0.002020851,-0.003478618,1.1902983632072761e-06
2013-07-30,0.00114573,-0.000134087,0.001302465,-0.000949311,0.002819005,0.000668209,0.002656161,1.5869854708139286e-06
2013-07-31,0.000461126,0.001261937,0.000623616,-0.00223783,-0.000697893,-0.002689759,-0.000271214,1.5869854708139286e-06
2013-08-01,0.013359953,0.013171599,0.013559546,0.009719794,0.011160976,0.008303728,0.014250317,1.5869854708139286e-06
2013-08-02,0.001438978,0.000988641,0.000595918,0.004412479,0.001906499,0.000219107,0.002992916,1.5869854708139286e-06
2013-08-05,-0.000842513,-0.001556272,-0.001886051,-0.001931931,-0.0007805,-0.001296314,-0.000374421,1.98363308512306e-06
2013-08-06,-0.00665831,-0.006608391,-0.005352707,-0.005264243,-0.005225675,-0.003443329,-0.005975636,1.5869854708139286e-06
2013-08-07,-0.0040593,-0.003299375,-0.003454087,-0.002310094,-0.00462446,-0.002909107,-0.004072092,1.98363308512306e-06
2013-08-08,0.004480338,0.004720043,0.004519537,0.000877042,0.00415628,0.003453613,0.004814484,1.98363308512306e-06
2013-08-09,-0.002711778,-0.003255718,-0.001637833,-0.003455175,-0.002662835,-0.002025849,-0.002962622,1.98363308512306e-06
2013-08-12,-0.00046748,-0.001256445,-0.00228503,-0.002070164,-0.000108684,-0.001662509,-0.00028017,2.3802412136841866e-06
2013-08-13,0.001928323,0.003450039,0.000538451,0.000803052,0.00350222,-0.000666981,0.002304729,2.3802412136841866e-06
2013-08-14,-0.004924983,-0.004313677,-0.005825263,-0.009599413,-0.006037266,-0.004652399,-0.006036985,1.98363308512306e-06
2013-08-15,-0.014651537,-0.014132082,-0.014959833,-0.017216201,-0.014425555,-0.013961523,-0.014873707,1.98363308512306e-06
2013-08-16,-0.003136885,-0.002739101,-0.004605545,-0.004661996,-0.002113023,-0.006650136,-0.00253869,1.98363308512306e-06
2013-08-19,-0.006361919,-0.007872409,-0.00604402,-0.002247392,-0.001935014,-0.004044338,-0.003282752,2.3802412136841866e-06
2013-08-20,0.005646959,0.004826548,0.00687255,0.004893255,0.003359525,0.006192708,0.004343959,1.5869854708139286e-06
2013-08-21,-0.005717988,-0.006311296,-0.007241994,-0.005566962,-0.002058892,-0.006306491,-0.004397807,1.5869854708139286e-06
2013-08-22,0.009334728,0.008132228,0.008804602,0.007232387,0.009085971,0.005508343,0.009527774,1.1902983632072761e-06
2013-08-23,0.004060279,0.00421954,0.00402474,0.003810222,0.004900761,0.006565253,0.004869473,1.1902983632072761e-06
2013-08-26,-0.003038546,-0.004449198,-0.004201168,-0.002331538,-0.002979494,-0.005312877,-0.001558131,1.5869854708139286e-06
2013-08-27,-0.017003306,-0.016510313,-0.01364479,-0.013939431,-0.016329292,-0.009572915,-0.016790262,1.98363308512306e-06
2013-08-28,0.002991473,0.003676157,0.000765479,0.002240138,0.004736073,-0.00065394,0.002660998,1.1902983632072761e-06
2013-08-29,0.003300949,0.001769981,0.00243927,0.005119002,0.001875386,0.002352901,0.005035777,7.935717540874521e-07
2013-08-30,-0.004793619,-0.003151185,-0.003591937,-0.003041503,-0.0044669,-0.001915529,-0.004511903,1.1902983632072761e-06
2013-09-03,0.004144177,0.004381644,0.001539171,0.004145605,0.003957549,-0.001398711,0.004909101,7.935717540874521e-07
2013-09-04,0.008324895,0.008586226,0.006907475,0.006291556,0.00750862,0.004673346,0.008019777,7.935717540874521e-07
2013-09-05,0.001603892,0.001710509,0.000157139,-0.001357895,0.001692736,-0.00174174,0.001922282,7.935717540874521e-07
2013-09-06,0.000559345,-0.000375181,0.001058392,0.000160974,-0.000577072,0.002686201,0.000757381,7.935717540874521e-07
2013-09-09,0.010959476,0.009630038,0.009733417,0.007995128,0.011197106,0.008305819,0.010854707,7.935717540874521e-07
2013-09-10,0.007631964,0.007726575,0.007040206,0.005624158,0.006481133,0.005301535,0.007331013,7.935717540874521e-07
2013-09-11,0.002949395,0.00290659,0.003382155,0.005329569,0.00324874,0.005110453,0.003599944,7.935717540874521e-07
2013-09-12,-0.003356526,-0.004034045,-0.003358768,-8.09514e-05,-0.001522042,-0.002857412,-0.001486022,3.968056356828953e-07
2013-09-13,0.002817393,0.003062146,0.003495069,0.00525615,0.00293552,0.003289142,0.002265134,3.968056356828953e-07
2013-09-16,0.005131548,0.005516218,0.006809149,0.00722887,0.003753606,0.006314291,0.004532632,7.935717540874521e-07
2013-09-17,0.005168452,0.004580331,0.004443992,0.002098093,0.004476417,0.002777879,0.005593907,3.968056356828953e-07
2013-09-18,0.011704917,0.010330048,0.013394489,0.012885653,0.013743295,0.016072888,0.012436837,3.968056356828953e-07
