Date,Value
1997-01-01,1644.710908
1997-01-02,1633.915519
1997-01-03,1654.839349
1997-01-06,1651.574711
1997-01-07,1662.650285
1997-01-08,1658.304924
1997-01-09,1671.589222
1997-01-10,1679.56634
1997-01-13,1680.321637
1997-01-14,1695.632478
1997-01-15,1692.999177
1997-01-16,1697.633774
1997-01-17,1708.375262
1997-01-20,1707.70506
1997-01-21,1713.791253
1997-01-22,1717.319036
1997-01-23,1707.366092
1997-01-24,1695.709363
1997-01-27,1686.443798
1997-01-28,1684.057088
1997-01-29,1692.534711
1997-01-30,1708.229745
1997-01-31,1712.850143
1997-02-03,1714.239088
1997-02-04,1718.953022
1997-02-05,1701.410788
1997-02-06,1704.31811
1997-02-07,1721.49695
1997-02-10,1717.510755
1997-02-11,1723.042894
1997-02-12,1745.453464
1997-02-13,1759.36597
1997-02-14,1756.740685
1997-02-17,1756.740685
1997-02-18,1768.629168
1997-02-19,1761.033758
1997-02-20,1746.631363
1997-02-21,1744.775679
1997-02-24,1757.614661
1997-02-25,1759.555124
1997-02-26,1749.499767
1997-02-27,1734.697869
1997-02-28,1727.870246
1997-03-03,1732.784446
1997-03-04,1731.134288
1997-03-05,1750.297596
1997-03-06,1747.01949
1997-03-07,1760.905354
1997-03-10,1773.032019
1997-03-11,1770.696116
1997-03-12,1760.65216
1997-03-13,1734.786502
1997-03-14,1744.800729
1997-03-17,1745.372035
1997-03-18,1734.549358
1997-03-19,1725.781917
1997-03-20,1722.28033
1997-03-21,1726.223949
1997-03-24,1734.404285
1997-03-25,1728.577325
1997-03-26,1728.283123
1997-03-27,1696.186589
1997-03-28,1696.186589
1997-03-31,1663.363638
1997-04-01,1664.004869
1997-04-02,1648.840327
1997-04-03,1645.279985
1997-04-04,1658.278491
1997-04-07,1671.089039
1997-04-08,1677.018482
1997-04-09,1668.194292
1997-04-10,1665.239867
1997-04-11,1626.555894
1997-04-14,1630.572303
1997-04-15,1651.204794
1997-04-16,1665.658867
