Date,Value
1997-11-28,232.513003
1997-12-01,237.474054
1997-12-02,236.992224
1997-12-03,238.160558
1997-12-04,237.767017
1997-12-05,240.297448
1997-12-08,240.47359
1997-12-09,238.887808
1997-12-10,237.0021
1997-12-11,232.717743
1997-12-12,232.143286
1997-12-15,234.552291
1997-12-16,235.345446
1997-12-17,234.925168
1997-12-18,231.689383
1997-12-19,230.093248
1997-12-22,231.336761
1997-12-23,228.087841
1997-12-24,226.884102
1997-12-25,226.884102
1997-12-26,227.402761
1997-12-29,230.397604
1997-12-30,234.074894
1997-12-31,235.176583
1998-01-01,235.176583
1998-01-02,236.178837
1998-01-05,236.53597
1998-01-06,234.315015
1998-01-07,234.670417
1998-01-08,231.798402
1998-01-09,225.22371
1998-01-12,227.538506
1998-01-13,230.531538
1998-01-14,231.194617
1998-01-15,229.771654
1998-01-16,231.470515
1998-01-19,231.470515
1998-01-20,233.751334
1998-01-21,231.895261
1998-01-22,229.947243
1998-01-23,228.171755
1998-01-26,228.439399
1998-01-27,230.00329
1998-01-28,231.244185
1998-01-29,233.166189
1998-01-30,231.711216
1998-02-02,236.584327
1998-02-03,238.660579
1998-02-04,239.037198
1998-02-05,238.931695
1998-02-06,240.457013
1998-02-09,241.807252
1998-02-10,242.922976
1998-02-11,242.765379
1998-02-12,243.799368
1998-02-13,243.114366
1998-02-16,243.114366
1998-02-17,244.293278
1998-02-18,245.698708
1998-02-19,244.924466
1998-02-20,245.888808
1998-02-23,246.130257
1998-02-24,244.844571
1998-02-25,247.727712
1998-02-26,248.865086
1998-02-27,249.618228
1998-03-02,249.705215
1998-03-03,250.641257
1998-03-04,249.830295
1998-03-05,246.447733
1998-03-06,251.350921
1998-03-09,249.886505
1998-03-10,252.174155
1998-03-11,253.708131
1998-03-12,254.758866
1998-03-13,254.463278
1998-03-16,257.112539
1998-03-17,257.450487
1998-03-18,258.567328
1998-03-19,258.963051
1998-03-20,261.232631
1998-03-23,259.231036
1998-03-24,261.140059
1998-03-25,260.580725
1998-03-26,259.660137
1998-03-27,258.972374
1998-03-30,258.468853
1998-03-31,259.807792
1998-04-01,259.45742
1998-04-02,261.491404
1998-04-03,261.439649
1998-04-06,262.439543
1998-04-07,258.775897
1998-04-08,257.93673
1998-04-09,260.33733
1998-04-10,260.33733
1998-04-13,260.571029
1998-04-14,263.587297
1998-04-15,265.586959
1998-04-16,263.651968
1998-04-17,265.449572
1998-04-20,265.156229
1998-04-21,265.82118
1998-04-22,266.121676
1998-04-23,263.191801
1998-04-24,260.793959
1998-04-27,255.327185
1998-04-28,255.352551
1998-04-29,256.593727
1998-04-30,259.68141
1998-05-01,262.281948
1998-05-04,263.114087
1998-05-05,261.954435
1998-05-06,260.946824
1998-05-07,260.368122
1998-05-08,262.794538
1998-05-11,261.928755
1998-05-12,262.980225
1998-05-13,263.709306
1998-05-14,263.180215
1998-05-15,261.086605
1998-05-18,259.544841
1998-05-19,259.482344
1998-05-20,261.050528
1998-05-21,261.340225
1998-05-22,260.822178
1998-05-25,260.822178
1998-05-26,257.859778
1998-05-27,255.744838
1998-05-28,257.711979
1998-05-29,256.325691
1998-06-01,255.797172
1998-06-02,256.027409
1998-06-03,253.835612
1998-06-04,255.023201
1998-06-05,259.319451
1998-06-08,260.219993
1998-06-09,261.513508
1998-06-10,259.049764
1998-06-11,255.178097
1998-06-12,254.526496
1998-06-15,249.500904
1998-06-16,250.963636
1998-06-17,254.921919
1998-06-18,253.889895
1998-06-19,252.23131
1998-06-22,253.235247
1998-06-23,254.91702
1998-06-24,256.202983
1998-06-25,256.060579
1998-06-26,256.993356
1998-06-29,257.915833
1998-06-30,256.390306
1998-07-01,260.617739
1998-07-02,260.037495
1998-07-03,260.037495
1998-07-06,261.905767
1998-07-07,261.657441
1998-07-08,263.371864
1998-07-09,262.271793
1998-07-10,262.414299
1998-07-13,261.772995
1998-07-14,264.586716
1998-07-15,263.078232
1998-07-16,264.275916
1998-07-17,263.944731
1998-07-20,262.952102
1998-07-21,260.175977
1998-07-22,261.614509
1998-07-23,258.039922
1998-07-24,257.199661
1998-07-27,258.4839
1998-07-28,255.990262
1998-07-29,256.735784
1998-07-30,258.546939
1998-07-31,255.998731
1998-08-03,254.120574
1998-08-04,246.007177
1998-08-05,247.93409
1998-08-06,248.083969
1998-08-07,248.438298
1998-08-10,246.875349
1998-08-11,243.268246
1998-08-12,246.572442
1998-08-13,243.961765
1998-08-14,242.509918
1998-08-17,246.632814
1998-08-18,249.907556
1998-08-19,248.622026
1998-08-20,246.904106
1998-08-21,243.943542
1998-08-24,244.908288
1998-08-25,244.779803
1998-08-26,241.511957
1998-08-27,231.644802
1998-08-28,229.835706
1998-08-31,218.691981
1998-09-01,225.667132
1998-09-02,224.994212
1998-09-03,223.350051
1998-09-04,221.794529
1998-09-07,221.794529
1998-09-08,230.95696
1998-09-09,228.518453
1998-09-10,223.560873
1998-09-11,229.298107
1998-09-14,235.633615
1998-09-15,238.060063
1998-09-16,240.170503
1998-09-17,235.166496
1998-09-18,236.903304
1998-09-21,238.103808
1998-09-22,239.459226
1998-09-23,246.371686
1998-09-24,241.303347
1998-09-25,241.805409
1998-09-28,242.487893
1998-09-29,241.983701
1998-09-30,234.294392
1998-10-01,228.508039
1998-10-02,232.861869
1998-10-05,229.420178
1998-10-06,229.312474
1998-10-07,227.036668
1998-10-08,224.566832
1998-10-09,229.338966
1998-10-12,231.553531
1998-10-13,230.458792
1998-10-14,231.676231
1998-10-15,239.971352
1998-10-16,241.461076
1998-10-19,243.431731
1998-10-20,245.921549
1998-10-21,246.330766
1998-10-22,247.183966
1998-10-23,245.744152
1998-10-26,245.79756
1998-10-27,245.597222
1998-10-28,246.359822
1998-10-29,250.631012
1998-10-30,253.776528
1998-11-02,257.446768
1998-11-03,258.361184
1998-11-04,261.897392
1998-11-05,265.124344
1998-11-06,265.408853
1998-11-09,262.973865
1998-11-10,262.16137
1998-11-11,261.889063
1998-11-12,261.486153
1998-11-13,263.96119
1998-11-16,266.059497
1998-11-17,267.161819
1998-11-18,267.963536
1998-11-19,269.073474
1998-11-20,271.269741
1998-11-23,277.551174
1998-11-24,276.971103
1998-11-25,277.469412
1998-11-26,277.469412
1998-11-27,278.037897
1998-11-30,271.703704
1998-12-01,274.658565
1998-12-02,275.270034
1998-12-03,270.784249
1998-12-04,275.323092
1998-12-07,277.509801
1998-12-08,275.814453
1998-12-09,274.266454
1998-12-10,269.508949
1998-12-11,268.818399
1998-12-14,262.539597
1998-12-15,265.255625
1998-12-16,266.021949
1998-12-17,270.750893
1998-12-18,271.468708
1998-12-21,274.590113
1998-12-22,273.904423
1998-12-23,277.890242
1998-12-24,278.046025
1998-12-25,278.046025
1998-12-28,277.119582
1998-12-29,279.428516
1998-12-30,279.375149
1998-12-31,277.851238
1999-01-01,277.851238
1999-01-04,278.268138
1999-01-05,282.595149
1999-01-06,289.921524
1999-01-07,290.736797
1999-01-08,294.275526
