Date,Value
1998-12-31,3552.951548
1999-01-01,3552.951548
1999-01-04,3548.859578
1999-01-05,3595.456254
1999-01-06,3675.856456
1999-01-07,3674.274504
1999-01-08,3688.471779
1999-01-11,3654.214398
1999-01-12,3583.796603
1999-01-13,3571.950601
1999-01-14,3510.009794
1999-01-15,3595.385479
1999-01-18,3595.385479
1999-01-19,3620.863765
1999-01-20,3634.448298
1999-01-21,3567.238926
1999-01-22,3539.903937
1999-01-25,3568.329468
1999-01-26,3627.492756
1999-01-27,3602.058881
1999-01-28,3665.991508
1999-01-29,3705.292766
1999-02-01,3682.766769
1999-02-02,3648.599171
1999-02-03,3679.029952
1999-02-04,3609.81803
1999-02-05,3580.996203
1999-02-08,3594.517351
1999-02-09,3515.406585
1999-02-10,3540.087483
1999-02-11,3625.021607
1999-02-12,3563.173248
1999-02-15,3563.173248
1999-02-16,3596.638818
1999-02-17,3551.918847
1999-02-18,3586.637295
1999-02-19,3596.717516
1999-02-22,3686.381329
1999-02-23,3690.643378
1999-02-24,3639.863209
1999-02-25,3619.760538
1999-02-26,3602.7214
1999-03-01,3598.551834
1999-03-02,3571.516573
1999-03-03,3574.475542
1999-03-04,3626.111368
1999-03-05,3707.472076
1999-03-08,3730.134399
1999-03-09,3724.814458
1999-03-10,3743.042272
1999-03-11,3777.775678
1999-03-12,3765.168278
1999-03-15,3804.127387
1999-03-16,3802.485497
1999-03-17,3776.065252
1999-03-18,3833.689578
1999-03-19,3784.546396
1999-03-22,3777.756172
1999-03-23,3679.887386
1999-03-24,3695.153033
1999-03-25,3759.800657
1999-03-26,3737.45085
1999-03-29,3817.517822
1999-03-30,3798.563109
1999-03-31,3753.447695
1999-04-01,3776.402533
1999-04-02,3776.402533
1999-04-05,3856.843701
1999-04-06,3844.875193
1999-04-07,3872.447341
1999-04-08,3926.514416
1999-04-09,3939.538116
1999-04-12,3973.192916
1999-04-13,3947.507954
1999-04-14,3882.296513
1999-04-15,3865.521963
1999-04-16,3847.896232
1999-04-19,3758.313675
1999-04-20,3810.758722
1999-04-21,3907.936708
1999-04-22,3965.488057
1999-04-23,3962.725175
1999-04-26,3974.337038
1999-04-27,3973.437821
1999-04-28,3936.213832
1999-04-29,3913.500133
1999-04-30,3887.840112
1999-05-03,3942.710866
1999-05-04,3877.723367
1999-05-05,3927.432854
1999-05-06,3882.260628
1999-05-07,3913.611162
1999-05-10,3903.986572
1999-05-11,3949.102022
1999-05-12,3970.090124
1999-05-13,3979.530103
1999-05-14,3892.984076
1999-05-17,3907.028787
1999-05-18,3888.748815
1999-05-19,3923.828527
1999-05-20,3908.01434
1999-05-21,3880.99194
1999-05-24,3812.580107
1999-05-25,3747.242501
1999-05-26,3808.401801
1999-05-27,3742.371901
1999-05-28,3798.118955
1999-05-31,3798.118955
1999-06-01,3772.185571
1999-06-02,3782.165847
1999-06-03,3796.54855
1999-06-04,3885.067282
1999-06-07,3897.361703
1999-06-08,3846.630422
1999-06-09,3851.154964
1999-06-10,3803.145848
1999-06-11,3775.172679
1999-06-14,3771.126578
1999-06-15,3794.800889
1999-06-16,3880.866379
1999-06-17,3910.403629
1999-06-18,3916.635861
1999-06-21,3933.862027
1999-06-22,3896.908595
1999-06-23,3886.614167
1999-06-24,3835.799285
1999-06-25,3835.634037
1999-06-28,3887.095591
1999-06-29,3944.695083
1999-06-30,4002.862087
1999-07-01,4032.613117
1999-07-02,4068.70471
1999-07-05,4068.70471
1999-07-06,4056.31237
1999-07-07,4071.544548
1999-07-08,4069.409473
1999-07-09,4090.675203
1999-07-12,4081.328134
1999-07-13,4068.295765
1999-07-14,4079.546009
1999-07-15,4110.630391
1999-07-16,4139.404076
1999-07-19,4114.835877
1999-07-20,4019.436357
1999-07-21,4025.332764
1999-07-22,3974.276247
1999-07-23,3961.572811
1999-07-26,3933.382734
1999-07-27,3974.772061
1999-07-28,3981.189935
1999-07-29,3909.922985
1999-07-30,3872.099613
1999-08-02,3868.083677
1999-08-03,3851.015191
1999-08-04,3803.361441
1999-08-05,3829.914958
1999-08-06,3790.523206
1999-08-09,3776.210461
1999-08-10,3733.591954
1999-08-11,3792.829605
1999-08-12,3780.982643
1999-08-13,3865.899393
1999-08-16,3879.011348
1999-08-17,3916.359406
1999-08-18,3879.486768
1999-08-19,3851.656037
1999-08-20,3893.029447
1999-08-23,3969.289253
1999-08-24,3983.468727
1999-08-25,4036.062643
1999-08-26,3979.329112
1999-08-27,3940.209695
1999-08-30,3869.985785
1999-08-31,3848.476216
1999-09-01,3873.724627
1999-09-02,3842.104566
1999-09-03,3958.861162
1999-09-06,3958.861162
1999-09-07,3940.265511
1999-09-08,3920.250598
1999-09-09,3930.541332
1999-09-10,3943.96822
1999-09-13,3920.0608
1999-09-14,3898.266142
1999-09-15,3844.199209
1999-09-16,3846.120929
1999-09-17,3892.446976
1999-09-20,3891.910125
1999-09-21,3813.245539
1999-09-22,3820.042727
1999-09-23,3729.8389
1999-09-24,3727.478852
1999-09-27,3739.241964
1999-09-28,3740.436538
1999-09-29,3696.248444
1999-09-30,3734.740943
1999-10-01,3731.915778
1999-10-04,3793.590221
1999-10-05,3788.847137
1999-10-06,3858.669456
1999-10-07,3839.252185
1999-10-08,3890.0304
1999-10-11,3887.715084
1999-10-12,3817.077007
1999-10-13,3735.887907
1999-10-14,3740.726423
1999-10-15,3632.456549
1999-10-18,3652.69743
1999-10-19,3678.986926
1999-10-20,3754.268818
1999-10-21,3743.688838
1999-10-22,3792.199418
1999-10-25,3771.067528
1999-10-26,3740.830489
1999-10-27,3781.231598
1999-10-28,3913.067525
1999-10-29,3977.756327
1999-11-01,3952.761597
1999-11-02,3932.596217
1999-11-03,3950.106441
1999-11-04,3971.906073
1999-11-05,3994.77564
1999-11-08,4018.172999
1999-11-09,3982.623551
1999-11-10,4001.221263
1999-11-11,4024.007194
1999-11-12,4065.264813
1999-11-15,4057.633677
1999-11-16,4131.592592
1999-11-17,4102.430783
1999-11-18,4147.16731
1999-11-19,4141.46127
1999-11-22,4149.022661
1999-11-23,4108.416049
1999-11-24,4145.27579
1999-11-25,4145.27579
1999-11-26,4144.556921
1999-11-29,4119.112885
1999-11-30,4064.081609
1999-12-01,4098.968183
1999-12-02,4134.071166
1999-12-03,4205.304576
1999-12-06,4182.367787
1999-12-07,4149.301888
1999-12-08,4136.331376
1999-12-09,4160.529321
1999-12-10,4183.081859
1999-12-13,4186.077388
1999-12-14,4147.64067
1999-12-15,4184.09914
1999-12-16,4203.720208
1999-12-17,4212.005301
1999-12-20,4214.875979
1999-12-21,4246.123975
1999-12-22,4258.067257
1999-12-23,4321.456318
1999-12-24,4321.456318
1999-12-27,4310.999626
1999-12-28,4315.961323
1999-12-29,4336.442987
1999-12-30,4337.044289
1999-12-31,4347.849845
2000-01-03,4320.30907
2000-01-04,4147.333197
2000-01-05,4158.507443
2000-01-06,4123.824419
2000-01-07,4266.32826
2000-01-10,4319.110233
2000-01-11,4260.026958
2000-01-12,4235.483027
2000-01-13,4291.744938
2000-01-14,4332.226202
2000-01-17,4332.226202
2000-01-18,4298.451561
2000-01-19,4305.271487
2000-01-20,4269.206968
2000-01-21,4259.394888
2000-01-24,4144.913957
2000-01-25,4169.75353
2000-01-26,4149.730516
2000-01-27,4133.383564
2000-01-28,4021.811647
2000-01-31,4113.878321
2000-02-01,4168.684766
2000-02-02,4162.462696
2000-02-03,4209.606419
2000-02-04,4204.414988
2000-02-07,4207.277814
2000-02-08,4249.960345
2000-02-09,4157.363784
2000-02-10,4166.8777
2000-02-11,4085.486686
2000-02-14,4095.686428
2000-02-15,4123.936301
2000-02-16,4071.225316
2000-02-17,4068.273772
2000-02-18,3949.382669
2000-02-21,3949.382669
2000-02-22,3963.411285
2000-02-23,3994.015451
2000-02-24,3977.238698
2000-02-25,3916.703154
2000-02-28,3961.3057
2000-02-29,4016.990079
2000-03-01,4048.139303
2000-03-02,4068.622139
