Date,Value
1997-01-01,610.115423
1997-01-02,608.628061
1997-01-03,614.791863
1997-01-06,614.468542
1997-01-07,618.804051
1997-01-08,615.157288
1997-01-09,619.76122
1997-01-10,623.025018
1997-01-13,623.478182
1997-01-14,629.432301
1997-01-15,629.181776
1997-01-16,630.816526
1997-01-17,635.84176
1997-01-20,636.789041
1997-01-21,641.087602
1997-01-22,641.26374
1997-01-23,633.99616
1997-01-24,629.725567
1997-01-27,625.891685
1997-01-28,624.736962
1997-01-29,629.496222
1997-01-30,637.427904
1997-01-31,639.179761
1997-02-03,639.131622
1997-02-04,643.361323
1997-02-05,635.47173
1997-02-06,634.89568
1997-02-07,643.006388
1997-02-10,640.849613
1997-02-11,644.817089
1997-02-12,653.2477
1997-02-13,658.932164
1997-02-14,657.080737
1997-02-17,657.080737
1997-02-18,662.700979
1997-02-19,657.849531
1997-02-20,651.662785
1997-02-21,651.420492
1997-02-24,658.664088
1997-02-25,660.305733
1997-02-26,655.892895
1997-02-27,650.208971
1997-02-28,647.755595
1997-03-03,650.377212
1997-03-04,645.392767
1997-03-05,652.33147
1997-03-06,650.749026
1997-03-07,655.414126
1997-03-10,660.740167
1997-03-11,659.781151
1997-03-12,655.994536
1997-03-13,645.263427
1997-03-14,648.991198
1997-03-17,652.089075
1997-03-18,648.543401
1997-03-19,645.600707
1997-03-20,642.687471
1997-03-21,643.307043
1997-03-24,647.509651
1997-03-25,645.954515
1997-03-26,645.004337
1997-03-27,631.575215
1997-03-28,631.575215
1997-03-31,619.785895
1997-04-01,621.400967
1997-04-02,615.016575
1997-04-03,613.004687
1997-04-04,617.33606
1997-04-07,620.546549
1997-04-08,622.243203
1997-04-09,617.512496
1997-04-10,618.048941
1997-04-11,602.878855
1997-04-14,604.997181
1997-04-15,613.680843
1997-04-16,620.296772
1997-04-17,619.151885
1997-04-18,623.493048
1997-04-21,619.355611
1997-04-22,629.89159
1997-04-23,629.239299
1997-04-24,626.227852
1997-04-25,623.028552
1997-04-28,628.871268
1997-04-29,643.963111
1997-04-30,647.93357
1997-05-01,646.346232
1997-05-02,657.206154
1997-05-05,669.807544
1997-05-06,669.776993
1997-05-07,660.232118
1997-05-08,664.849135
1997-05-09,666.9342
1997-05-12,677.2993
1997-05-13,674.45187
1997-05-14,676.319453
1997-05-15,680.473076
1997-05-16,673.540193
1997-05-19,674.971605
1997-05-20,678.582837
1997-05-21,677.211685
1997-05-22,674.674025
1997-05-23,682.097952
1997-05-26,682.097952
1997-05-27,684.161911
1997-05-28,683.663684
1997-05-29,683.416669
1997-05-30,686.345458
1997-06-02,685.178314
1997-06-03,686.299651
1997-06-04,683.109839
1997-06-05,685.661931
1997-06-06,696.254802
1997-06-09,698.400849
1997-06-10,702.225598
1997-06-11,704.935006
1997-06-12,717.31316
1997-06-13,722.931566
1997-06-16,723.263317
1997-06-17,722.332221
1997-06-18,719.523536
1997-06-19,725.22034
1997-06-20,726.360481
1997-06-23,711.901536
1997-06-24,724.608397
1997-06-25,719.169831
1997-06-26,716.553168
1997-06-27,719.510439
1997-06-30,718.092088
1997-07-01,721.485236
1997-07-02,729.946769
1997-07-03,738.60791
1997-07-04,738.60791
1997-07-07,735.019469
1997-07-08,740.561561
1997-07-09,730.862929
1997-07-10,736.829731
1997-07-11,737.719971
1997-07-14,737.970222
1997-07-15,742.237778
1997-07-16,747.522756
1997-07-17,742.768363
1997-07-18,732.707217
1997-07-21,730.623811
1997-07-22,746.42583
1997-07-23,746.502264
1997-07-24,748.167614
1997-07-25,746.419246
1997-07-28,746.092293
1997-07-29,750.49294
1997-07-30,757.004216
1997-07-31,759.83418
1997-08-01,752.825433
1997-08-04,754.895273
1997-08-05,755.45866
1997-08-06,761.116707
1997-08-07,754.822538
1997-08-08,740.973148
1997-08-11,746.889031
1997-08-12,740.047552
1997-08-13,736.77606
1997-08-14,736.872051
1997-08-15,721.039753
1997-08-18,727.748884
1997-08-19,735.521953
1997-08-20,742.626517
1997-08-21,733.144888
1997-08-22,732.449926
1997-08-25,730.51509
1997-08-26,726.214177
1997-08-27,727.337718
1997-08-28,721.250387
1997-08-29,718.302515
1997-09-01,718.302515
1997-09-02,736.8
1997-09-03,738.201016
1997-09-04,740.699823
1997-09-05,738.692984
1997-09-08,740.929557
1997-09-09,742.555078
1997-09-10,732.569402
1997-09-11,727.513868
1997-09-12,737.080497
1997-09-15,734.905078
1997-09-16,751.471122
1997-09-17,749.755973
1997-09-18,754.631513
1997-09-19,755.737533
1997-09-22,757.366783
1997-09-23,755.171922
1997-09-24,750.713739
1997-09-25,747.225212
1997-09-26,752.770668
1997-09-29,758.896296
1997-09-30,755.940476
1997-10-01,762.321562
1997-10-02,765.269406
1997-10-03,766.672225
1997-10-06,773.067943
1997-10-07,780.823652
1997-10-08,774.794741
1997-10-09,771.464792
1997-10-10,769.775636
1997-10-13,771.630338
1997-10-14,772.480927
1997-10-15,771.56338
1997-10-16,765.350899
1997-10-17,760.000619
1997-10-20,768.308691
1997-10-21,779.91129
1997-10-22,779.099675
1997-10-23,765.868653
1997-10-24,760.505164
1997-10-27,715.413253
1997-10-28,743.695889
1997-10-29,742.446043
1997-10-30,734.52433
1997-10-31,741.762603
1997-11-03,757.564998
1997-11-04,757.148162
1997-11-05,757.883839
1997-11-06,756.15278
1997-11-07,749.050915
1997-11-10,748.744777
1997-11-11,753.540194
1997-11-12,744.758639
1997-11-13,750.157375
1997-11-14,753.996495
1997-11-17,765.983813
1997-11-18,761.626621
1997-11-19,766.646101
1997-11-20,776.174941
1997-11-21,779.796735
1997-11-24,770.749575
1997-11-25,775.3883
1997-11-26,776.816845
1997-11-27,776.816845
1997-11-28,779.861226
1997-12-01,791.31934
1997-12-02,790.889106
1997-12-03,793.942669
1997-12-04,790.448547
1997-12-05,797.048171
1997-12-08,794.874665
1997-12-09,791.585292
1997-12-10,788.95511
1997-12-11,780.689724
1997-12-12,780.326903
1997-12-15,787.901626
1997-12-16,791.039356
1997-12-17,788.123431
1997-12-18,781.840391
1997-12-19,775.659907
1997-12-22,780.910844
1997-12-23,772.42072
1997-12-24,768.876659
1997-12-25,768.876659
1997-12-26,770.423239
1997-12-29,782.073201
1997-12-30,796.316421
1997-12-31,795.607909
1998-01-01,795.607909
1998-01-02,797.862803
1998-01-05,795.770539
1998-01-06,789.033138
1998-01-07,788.956549
1998-01-08,783.815031
1998-01-09,764.463677
1998-01-12,773.992456
1998-01-13,779.510282
1998-01-14,783.558366
1998-01-15,778.420913
1998-01-16,785.741124
1998-01-19,785.741124
1998-01-20,797.924232
1998-01-21,793.117501
1998-01-22,790.576827
1998-01-23,785.386822
1998-01-26,786.144218
1998-01-27,792.928972
1998-01-28,798.408981
1998-01-29,804.18985
1998-01-30,798.264944
1998-02-02,811.848845
1998-02-03,815.55544
1998-02-04,814.347132
1998-02-05,812.676159
1998-02-06,817.211942
1998-02-09,816.967846
1998-02-10,821.454547
1998-02-11,822.330377
1998-02-12,826.723517
1998-02-13,824.988734
1998-02-16,824.988734
1998-02-17,826.989406
1998-02-18,834.444987
1998-02-19,829.876418
1998-02-20,835.292715
1998-02-23,835.479889
1998-02-24,830.790324
1998-02-25,838.515068
1998-02-26,842.39359
1998-02-27,842.87485
1998-03-02,845.565125
1998-03-03,850.472849
1998-03-04,846.751885
1998-03-05,840.231751
1998-03-06,855.227076
1998-03-09,856.550909
1998-03-10,864.695912
1998-03-11,868.376044
1998-03-12,868.458408
1998-03-13,866.938027
1998-03-16,873.561521
1998-03-17,874.924207
1998-03-18,879.267175
1998-03-19,883.88089
1998-03-20,893.238887
1998-03-23,890.134458
1998-03-24,895.202306
1998-03-25,890.582353
1998-03-26,890.01737
1998-03-27,884.927015
1998-03-30,885.650968
1998-03-31,891.780645
1998-04-01,896.964002
1998-04-02,903.956676
1998-04-03,902.703584
1998-04-06,898.649024
1998-04-07,893.330705
1998-04-08,885.928491
1998-04-09,892.456176
1998-04-10,892.456176
1998-04-13,890.167443
1998-04-14,894.957883
1998-04-15,897.085108
1998-04-16,892.72851
1998-04-17,904.233257
1998-04-20,901.365469
1998-04-21,900.544251
1998-04-22,900.87857
1998-04-23,891.921538
1998-04-24,881.543973
1998-04-27,866.45542
1998-04-28,865.32275
1998-04-29,870.233426
1998-04-30,884.134076
1998-05-01,890.46045
1998-05-04,893.02502
1998-05-05,886.969038
1998-05-06,879.538917
1998-05-07,871.270164
1998-05-08,880.236828
1998-05-11,880.43974
1998-05-12,884.749094
1998-05-13,889.260658
1998-05-14,890.421647
1998-05-15,884.084726
1998-05-18,883.046841
1998-05-19,884.35198
1998-05-20,892.911279
1998-05-21,890.736826
1998-05-22,888.405025
1998-05-25,888.405025
1998-05-26,877.742548
1998-05-27,874.074483
1998-05-28,879.533999
1998-05-29,875.898202
1998-06-01,879.469199
1998-06-02,878.367814
1998-06-03,873.327195
1998-06-04,879.847281
1998-06-05,894.917483
1998-06-08,896.634218
1998-06-09,896.948405
1998-06-10,893.311547
1998-06-11,881.045018
1998-06-12,885.019951
1998-06-15,869.208592
1998-06-16,875.814969
1998-06-17,890.505515
1998-06-18,889.262231
1998-06-19,883.109959
1998-06-22,886.468827
1998-06-23,896.743349
1998-06-24,902.516456
1998-06-25,898.772097
1998-06-26,901.741378
1998-06-29,903.772943
1998-06-30,903.393901
1998-07-01,912.217624
1998-07-02,912.039912
1998-07-03,912.039912
1998-07-06,919.3614
1998-07-07,913.971621
1998-07-08,920.205234
1998-07-09,909.532149
1998-07-10,911.675513
1998-07-13,908.19179
1998-07-14,919.938928
1998-07-15,919.223416
1998-07-16,926.405519
1998-07-17,926.887124
1998-07-20,922.22909
1998-07-21,911.703647
1998-07-22,914.226527
1998-07-23,895.677884
1998-07-24,896.262174
1998-07-27,899.539655
1998-07-28,887.851367
1998-07-29,885.93158
1998-07-30,892.626735
1998-07-31,878.052721
1998-08-03,875.61837
1998-08-04,850.074444
1998-08-05,853.551603
1998-08-06,858.425033
1998-08-07,863.216061
1998-08-10,859.118435
1998-08-11,853.535963
1998-08-12,866.705245
1998-08-13,860.976337
1998-08-14,853.069659
1998-08-17,866.863597
1998-08-18,875.72435
1998-08-19,873.044235
1998-08-20,869.880827
1998-08-21,865.221725
1998-08-24,874.440746
1998-08-25,876.934995
1998-08-26,872.197561
1998-08-27,849.127516
1998-08-28,843.664624
1998-08-31,799.154655
1998-09-01,820.998512
1998-09-02,813.632332
1998-09-03,810.59065
