Date,Value
2002-05-29,775.817493
2002-05-30,775.80744
2002-05-31,780.299898
2002-06-03,768.8012
2002-06-04,764.409591
2002-06-05,771.970173
2002-06-06,760.686013
2002-06-07,763.303195
2002-06-10,768.516757
2002-06-11,760.99085
2002-06-12,763.410653
2002-06-13,754.673564
2002-06-14,752.212411
2002-06-17,769.099655
2002-06-18,770.968045
2002-06-19,768.998242
2002-06-20,763.082413
2002-06-21,754.734849
2002-06-24,747.582143
2002-06-25,734.96278
2002-06-26,733.673439
2002-06-27,740.905592
2002-06-28,740.470586
2002-07-01,730.863116
2002-07-02,720.515011
2002-07-03,720.509787
2002-07-04,720.509787
2002-07-05,738.595831
2002-07-08,737.506288
2002-07-09,721.681502
2002-07-10,700.388498
2002-07-11,698.256204
2002-07-12,689.302555
2002-07-15,684.469142
2002-07-16,670.773636
2002-07-17,674.612683
2002-07-18,654.925965
2002-07-19,625.936952
2002-07-22,616.676372
2002-07-23,611.120856
2002-07-24,647.163107
2002-07-25,653.557755
2002-07-26,658.753349
2002-07-29,688.959721
2002-07-30,685.715991
2002-07-31,697.077
2002-08-01,684.606956
2002-08-02,673.490045
2002-08-05,656.462802
2002-08-06,671.229561
2002-08-07,682.193217
2002-08-08,701.073282
2002-08-09,703.784081
2002-08-12,699.724881
2002-08-13,687.109447
2002-08-14,706.109939
2002-08-15,709.974623
2002-08-16,708.316549
2002-08-19,717.617202
2002-08-20,710.352389
2002-08-21,714.726391
2002-08-22,721.553256
2002-08-23,709.901218
2002-08-26,716.015423
2002-08-27,712.455588
2002-08-28,702.685971
2002-08-29,701.292012
2002-08-30,706.125439
2002-09-02,706.125439
2002-09-03,685.421285
2002-09-04,693.878731
2002-09-05,691.315572
2002-09-06,700.026306
2002-09-09,705.702621
2002-09-10,705.126573
2002-09-11,704.901079
2002-09-12,693.032029
2002-09-13,696.604924
2002-09-16,699.777198
2002-09-17,686.127633
2002-09-18,684.439978
2002-09-19,668.265482
2002-09-20,671.840896
2002-09-23,668.092746
2002-09-24,653.614436
2002-09-25,664.961629
2002-09-26,679.93009
2002-09-27,667.243426
2002-09-30,660.359392
2002-10-01,679.079179
2002-10-02,665.758418
2002-10-03,655.832755
2002-10-04,643.970391
2002-10-07,630.65818
2002-10-08,640.70171
2002-10-09,622.417905
2002-10-10,637.887378
2002-10-11,656.600114
2002-10-14,659.612437
2002-10-15,679.763709
2002-10-16,668.300958
2002-10-17,672.820865
2002-10-18,678.428853
2002-10-21,691.067713
2002-10-22,682.655456
2002-10-23,687.90844
2002-10-24,677.215274
2002-10-25,682.378762
2002-10-28,669.885663
2002-10-29,670.474957
2002-10-30,674.535155
2002-10-31,667.619781
2002-11-01,675.547641
2002-11-04,667.375451
2002-11-05,673.137772
2002-11-06,676.056204
2002-11-07,662.96609
2002-11-08,651.597776
2002-11-11,642.699157
2002-11-12,644.456614
2002-11-13,645.732358
2002-11-14,656.118352
2002-11-15,661.87713
2002-11-18,653.58785
2002-11-19,652.372953
2002-11-20,659.322957
2002-11-21,663.321196
2002-11-22,662.63063
2002-11-25,656.352745
2002-11-26,648.132711
2002-11-27,663.566528
2002-11-28,663.566528
2002-11-29,659.707808
2002-12-02,656.43175
2002-12-03,653.341829
2002-12-04,656.839042
2002-12-05,650.068255
2002-12-06,656.433838
2002-12-09,647.027929
2002-12-10,655.232791
2002-12-11,655.115553
2002-12-12,652.099836
2002-12-13,644.384427
2002-12-16,657.23666
2002-12-17,652.662358
2002-12-18,647.466566
2002-12-19,644.666369
2002-12-20,654.96688
2002-12-23,656.090854
2002-12-24,653.457321
2002-12-25,653.457321
2002-12-26,651.76187
2002-12-27,642.587152
2002-12-30,646.907162
2002-12-31,646.492755
2003-01-01,646.492755
2003-01-02,665.101059
2003-01-03,663.381645
2003-01-06,673.780776
2003-01-07,667.64108
2003-01-08,661.167046
2003-01-09,669.960494
2003-01-10,667.702421
2003-01-13,665.890054
2003-01-14,667.270628
2003-01-15,658.849154
2003-01-16,657.6204
2003-01-17,655.542815
2003-01-20,655.542815
2003-01-21,646.229914
2003-01-22,641.962322
2003-01-23,648.359502
2003-01-24,634.306463
2003-01-27,624.727747
2003-01-28,631.279248
2003-01-29,634.56183
2003-01-30,624.671452
2003-01-31,634.926366
2003-02-03,635.143386
2003-02-04,628.478908
2003-02-05,625.797546
2003-02-06,624.618907
2003-02-07,619.343586
2003-02-10,623.265743
