Date,Value
1998-11-30,1000
1998-12-01,1012.009008
1998-12-02,1009.036521
1998-12-03,988.626758
1998-12-04,1010.498254
1998-12-07,1021.187733
1998-12-08,1018.823879
1998-12-09,1020.128307
1998-12-10,1003.505503
1998-12-11,1006.849568
1998-12-14,984.376518
1998-12-15,1003.313091
1998-12-16,1000.616171
1998-12-17,1014.565269
1998-12-18,1021.833034
1998-12-21,1035.771787
1998-12-22,1040.126134
1998-12-23,1063.385554
1998-12-24,1061.714776
1998-12-25,1061.714776
1998-12-28,1061.950157
1998-12-29,1078.142415
1998-12-30,1067.407555
1998-12-31,1064.243334
1999-01-01,1064.243334
1999-01-04,1066.340034
1999-01-05,1074.452245
1999-01-06,1099.694911
1999-01-07,1100.742383
1999-01-08,1106.820498
1999-01-11,1097.37992
1999-01-12,1074.567523
1999-01-13,1071.798849
1999-01-14,1054.510124
1999-01-15,1079.119489
1999-01-18,1079.119489
1999-01-19,1089.728662
1999-01-20,1090.021365
1999-01-21,1068.429064
1999-01-22,1063.276074
1999-01-25,1074.156558
1999-01-26,1092.752309
1999-01-27,1089.311727
1999-01-28,1110.673208
1999-01-29,1124.304353
1999-02-01,1120.299718
1999-02-02,1110.107407
1999-02-03,1120.986497
1999-02-04,1098.85605
1999-02-05,1088.761641
1999-02-08,1095.337059
1999-02-09,1068.042
1999-02-10,1072.106548
1999-02-11,1100.156914
1999-02-12,1077.935006
1999-02-15,1077.935006
1999-02-16,1087.340817
1999-02-17,1073.318325
1999-02-18,1083.706266
1999-02-19,1089.410825
1999-02-22,1115.183151
1999-02-23,1117.896613
1999-02-24,1098.158784
1999-02-25,1092.405438
1999-02-26,1087.518224
1999-03-01,1085.701051
1999-03-02,1078.475253
1999-03-03,1078.931785
1999-03-04,1095.150278
1999-03-05,1119.852429
1999-03-08,1127.278176
1999-03-09,1123.987513
1999-03-10,1127.673915
1999-03-11,1135.445369
1999-03-12,1131.174697
1999-03-15,1144.164999
1999-03-16,1143.853254
1999-03-17,1137.035558
1999-03-18,1152.816598
1999-03-19,1136.073323
1999-03-22,1134.094928
1999-03-23,1105.830453
1999-03-24,1112.740673
1999-03-25,1134.288165
1999-03-26,1125.68022
1999-03-29,1149.745795
1999-03-30,1143.558781
1999-03-31,1130.206908
1999-04-01,1133.917559
1999-04-02,1133.917559
1999-04-05,1158.274162
1999-04-06,1154.52084
1999-04-07,1161.842719
1999-04-08,1180.431595
1999-04-09,1187.492501
1999-04-12,1197.120935
1999-04-13,1191.587458
1999-04-14,1166.654386
1999-04-15,1158.794883
1999-04-16,1153.537414
1999-04-19,1122.491823
1999-04-20,1138.941433
1999-04-21,1168.337927
1999-04-22,1186.148758
1999-04-23,1183.732079
1999-04-26,1185.850221
1999-04-27,1182.531583
1999-04-28,1172.242368
1999-04-29,1165.147093
1999-04-30,1157.932191
1999-05-03,1172.4533
1999-05-04,1153.649418
1999-05-05,1169.013285
1999-05-06,1154.262626
1999-05-07,1160.137682
1999-05-10,1160.371829
1999-05-11,1176.443503
1999-05-12,1182.343548
1999-05-13,1179.954267
1999-05-14,1154.668933
1999-05-17,1161.075138
1999-05-18,1153.764481
1999-05-19,1161.20438
1999-05-20,1158.503425
1999-05-21,1151.724407
1999-05-24,1130.477587
1999-05-25,1110.318205
1999-05-26,1126.457052
1999-05-27,1108.287629
1999-05-28,1123.651539
1999-05-31,1123.651539
1999-06-01,1118.519013
1999-06-02,1122.001278
1999-06-03,1124.019148
1999-06-04,1152.098154
1999-06-07,1154.517532
1999-06-08,1140.573388
1999-06-09,1139.730051
1999-06-10,1124.276253
1999-06-11,1112.543567
1999-06-14,1108.533123
1999-06-15,1114.13916
1999-06-16,1144.943894
1999-06-17,1155.635613
1999-06-18,1158.923458
1999-06-21,1166.089637
1999-06-22,1153.267596
1999-06-23,1151.690637
1999-06-24,1134.954738
1999-06-25,1135.896746
1999-06-28,1151.028977
1999-06-29,1171.257217
1999-06-30,1189.468364
1999-07-01,1197.835122
1999-07-02,1210.541718
1999-07-05,1210.541718
1999-07-06,1209.793509
1999-07-07,1215.67756
1999-07-08,1215.235776
1999-07-09,1220.15191
1999-07-12,1212.605528
1999-07-13,1207.810108
1999-07-14,1209.969201
1999-07-15,1218.219722
1999-07-16,1225.702701
1999-07-19,1214.326047
1999-07-20,1187.461363
1999-07-21,1193.034028
1999-07-22,1179.878015
1999-07-23,1173.466147
1999-07-26,1165.15902
1999-07-27,1175.316763
1999-07-28,1180.84916
1999-07-29,1159.127883
1999-07-30,1150.405077
1999-08-02,1150.583721
1999-08-03,1141.946779
1999-08-04,1128.177217
1999-08-05,1134.585967
1999-08-06,1124.039801
1999-08-09,1118.744624
1999-08-10,1107.669835
1999-08-11,1126.356949
1999-08-12,1127.876906
1999-08-13,1153.485639
1999-08-16,1155.856057
1999-08-17,1167.184201
1999-08-18,1156.123869
1999-08-19,1145.278807
1999-08-20,1161.659921
1999-08-23,1183.163567
1999-08-24,1186.974489
1999-08-25,1208.276853
1999-08-26,1190.255351
1999-08-27,1177.682747
1999-08-30,1156.273786
1999-08-31,1150.191777
1999-09-01,1162.074066
1999-09-02,1155.737877
1999-09-03,1190.07961
1999-09-06,1190.07961
1999-09-07,1177.64667
1999-09-08,1170.90374
1999-09-09,1175.644156
1999-09-10,1179.864941
1999-09-13,1171.187738
1999-09-14,1165.258835
1999-09-15,1146.364653
1999-09-16,1146.615345
1999-09-17,1166.695363
1999-09-20,1164.159671
1999-09-21,1141.989657
1999-09-22,1143.560944
1999-09-23,1113.887561
1999-09-24,1109.052835
1999-09-27,1113.741423
1999-09-28,1115.15329
1999-09-29,1101.81679
1999-09-30,1115.281715
1999-10-01,1117.982643
1999-10-04,1139.716292
1999-10-05,1139.840912
1999-10-06,1161.473539
1999-10-07,1156.24226
1999-10-08,1175.820499
1999-10-11,1175.441309
1999-10-12,1154.598774
1999-10-13,1126.889974
1999-10-14,1129.525948
1999-10-15,1093.484893
1999-10-18,1099.893631
1999-10-19,1108.600604
1999-10-20,1131.553124
1999-10-21,1131.912647
1999-10-22,1147.74121
1999-10-25,1137.748881
1999-10-26,1123.972851
1999-10-27,1138.930346
1999-10-28,1185.398707
1999-10-29,1209.336662
1999-11-01,1208.25252
1999-11-02,1202.398477
1999-11-03,1206.917368
1999-11-04,1211.398722
1999-11-05,1221.674683
1999-11-08,1229.361641
1999-11-09,1216.080445
1999-11-10,1221.043385
1999-11-11,1227.478052
1999-11-12,1238.305736
1999-11-15,1234.959208
1999-11-16,1259.390496
1999-11-17,1255.322733
1999-11-18,1270.359548
1999-11-19,1270.07849
1999-11-22,1276.079326
1999-11-23,1265.905383
1999-11-24,1281.310207
1999-11-25,1281.310207
1999-11-26,1283.100266
1999-11-29,1276.190101
1999-11-30,1254.78631
1999-12-01,1266.670984
1999-12-02,1281.062963
1999-12-03,1301.374482
1999-12-06,1287.215188
1999-12-07,1274.871172
1999-12-08,1269.702429
1999-12-09,1283.791338
1999-12-10,1291.448176
1999-12-13,1292.993675
1999-12-14,1281.919231
1999-12-15,1304.026883
1999-12-16,1307.973042
1999-12-17,1305.87294
1999-12-20,1304.231154
1999-12-21,1310.703956
1999-12-22,1317.083422
1999-12-23,1341.245143
1999-12-24,1341.245143
1999-12-27,1338.358869
1999-12-28,1338.849467
1999-12-29,1345.001094
1999-12-30,1344.252167
1999-12-31,1345.383053
2000-01-03,1336.846684
2000-01-04,1280.597105
2000-01-05,1283.548051
2000-01-06,1262.675004
2000-01-07,1314.751608
2000-01-10,1321.773651
2000-01-11,1306.628368
2000-01-12,1297.200858
2000-01-13,1312.936138
2000-01-14,1325.501435
2000-01-17,1325.501435
2000-01-18,1313.079219
2000-01-19,1311.538938
2000-01-20,1302.535285
2000-01-21,1300.026216
2000-01-24,1264.165315
2000-01-25,1272.180123
2000-01-26,1268.871882
